Complexity,Loss,Equation
1,83.454926,"8.17232"
3,12.478805,"input_u * 10.000258"
5,1.9461478,"(input_u * 5.8036547) * input_u"
7,1.8905845,"0.31246632 - (input_u * (input_u * -5.7058287))"
9,1.8141181,"(-2.7236626 - ((input_u + -9.055935) * input_u)) * input_u"
11,1.5783691,"((-2.7236626 - ((input_u + -9.055935) * input_u)) * input_u) + 0.48554313"
13,1.5242342,"0.46208733 - ((input_u + -5.6073403) * (input_u * (input_u + (input_u + -0.8324163))))"
16,1.4602066,"(((sqrt(((input_u * input_u) * input_u) - -0.39513597) * -2.0582426) - -1.152495) * -5.1742153) - input_u"
18,1.1799496,"((sqrt(((input_u * (input_u * input_u)) * input_u) - -0.6213024) * -2.856423) - -2.0773563) * (input_u - 4.4614825)"
20,1.1799492,"((sqrt((((input_u * input_u) * input_u) * input_u) - -0.6212019) * -2.8563755) - -2.077354) * ((input_u + -1.2662063) - 3.1955893)"
22,1.1451595,"(((sqrt(((input_u * input_u) * (input_u * input_u)) - -0.4905224) * -3.1657846) - -1.1679027) * ((input_u - 3.1300588) + -1.199125)) - 3.6443133"
24,1.0330964,"input_u + ((((sqrt((((input_u + input_u) * input_u) * (input_u - 0.75827116)) - -0.34259877) * -1.7118239) - -0.7767978) * (input_u - 6.7896824)) / 1.053)"
26,1.0252807,"(((sqrt(((input_u - 0.8357081) * (input_u * (input_u + input_u))) - -0.34812102) * -1.7202619) - -0.60899574) * (input_u - 6.330068)) + (input_u + (input_u + -1.0687428))"
