Complexity,Loss,Equation
1,1602.7765,"43.63226"
3,168.19217,"input_u * 19.759443"
5,12.670317,"(input_u * input_u) * 5.1708827"
7,11.713796,"(0.3056801 - input_u) * (input_u * -5.600342)"
9,11.390502,"(input_u * ((0.2408016 - input_u) * -5.567012)) - 0.9147152"
13,10.880759,"(input_u - 0.6119393) * (((input_u * -160.39334) * (input_u + -22.899052)) / 493.92236)"
15,9.706521,"((((input_u * ((input_u + -20.854136) / 51.160915)) + 0.22140807) * -19.422789) * input_u) + -1.8712037"
16,8.620573,"input_u * ((input_u - ((12.722957 - input_u) * (sqrt(input_u * input_u) * -0.7519441))) - 9.311618)"
18,8.500558,"(((input_u - (((11.942787 - input_u) - input_u) * -0.8510045)) * sqrt(input_u * input_u)) - 8.490516) * input_u"
20,8.450975,"((((input_u - (((11.942787 - input_u) - input_u) * -0.8510045)) * sqrt(input_u * input_u)) - 8.490516) * input_u) - 0.17325255"
22,8.447957,"((((input_u - (((11.942787 - input_u) - input_u) * -0.8510045)) * sqrt(input_u * input_u)) - 8.490516) * input_u) - (1.66455 - 1.4217921)"
24,8.35919,"(input_u * (((input_u + (((input_u - 6.1270957) - ((11.977025 - input_u) - input_u)) * -0.58924186)) * sqrt(input_u * input_u)) - 9.32062)) + -0.4620884"
25,6.0256057,"((-0.868404 / (((input_u - 2.4469886) * (input_u / (2.404727 / input_u))) + (input_u / input_u))) + (((input_u * 4.205523) + input_u) * input_u)) + -0.35144347"
