Complexity,Loss,Equation
1,0.89177626,"1.1308286"
3,0.71191704,"input_u + 1.0197889"
5,0.7000195,"-2.099143 / (input_u + -2.1294925)"
7,0.6995485,"(input_u / (2.1310282 - input_u)) + 0.97236776"
8,0.6984935,"sqrt((-1.7805111 - input_u) / (input_u + -1.809622))"
9,0.69069177,"(((-1.3214165 - input_u) * input_u) / -2.2713573) + 0.9363634"
11,0.56947225,"((0.077429846 / ((input_u * 2.4303827) - 2.4585862)) + input_u) + 1.0514202"
12,0.56938493,"((0.074503966 / ((input_u * 2.4232986) - 2.4532092)) + input_u) + sqrt(1.0647687)"
13,0.55201197,"(0.76666266 * ((0.09717959 / ((input_u * 2.4232986) - 2.4532092)) + input_u)) + 1.0592282"
21,0.4706388,"(-0.06177614 / (input_u + (-1.5989263 / (input_u + (input_u + (input_u - ((input_u + 0.4469873) * (input_u * input_u)))))))) + 0.9401107"
23,0.46282956,"((input_u / ((-1.5672457 / ((input_u + (input_u + input_u)) - ((input_u * input_u) * (input_u + 0.4647536)))) + input_u)) * -0.0367427) + 0.9157451"
