Complexity,Loss,Equation
1,923.73346,"24.9317"
3,126.86452,"input_u * 17.079445"
5,12.046337,"(input_u * input_u) * 5.2026114"
7,11.59127,"input_u * ((input_u - 0.21426234) * 5.538536)"
9,11.539358,"(((input_u * input_u) * 5.514013) - 0.3296869) - input_u"
11,11.539324,"(((input_u * (input_u - 0.0022115652)) * 5.51711) - input_u) + -0.32605517"
12,11.469244,"(input_u * 2.8073835) * ((sqrt(input_u * input_u) + input_u) + -0.51791734)"
13,10.538332,"(input_u * (input_u * ((input_u - -0.78846973) * -0.3039983))) * (input_u - 7.5869923)"
15,10.405979,"((input_u * (2.1642058 - (input_u * 0.26835528))) + -0.70577276) * (input_u * (input_u - -1.7081817))"
21,10.368383,"(((-0.30476046 - ((input_u - (input_u + input_u)) * -0.3069074)) * (((input_u - 7.5557957) * input_u) * input_u)) + 0.3708221) - input_u"
25,10.368382,"(((((input_u * input_u) * (-0.30564836 - (((input_u * 0.4023363) - (input_u + input_u)) * -0.19187947))) + -0.0053052893) * (input_u - 7.5575905)) + 0.33061197) - input_u"
