Complexity,Loss,Equation
1,646.36774,"72.18908"
3,120.56057,"input_u * 20.349047"
5,2.5405972,"(input_u * 5.1895556) * input_u"
7,1.7944267,"input_u * ((input_u * 4.8126235) + 1.5110489)"
9,1.7466484,"(input_u * ((input_u * 4.342771) + 4.814718)) - 5.5587287"
11,1.612936,"(input_u * ((input_u * (input_u - 5.7886577)) + 38.051357)) + -40.747623"
14,1.6126648,"sqrt(input_u) + ((input_u * (((input_u - 5.768006) * input_u) + 37.637054)) + -41.421745)"
16,1.6126635,"((((input_u + ((input_u + -6.767539) * input_u)) - -37.63373) * input_u) + sqrt(input_u)) + -41.416054"
19,1.6123122,"((sqrt(sqrt(input_u) + -1.2130873) + (input_u * ((input_u * (input_u - 5.704188)) + 36.302204))) + -40.02336) + input_u"
25,1.6045028,"(((input_u * ((((-21.505995 / (input_u + -0.77074224)) + input_u) / (input_u + input_u)) + -0.8562587)) * -1.5955579) * (input_u * (input_u + -1.3984777))) + input_u"
