Complexity,Loss,Equation
1,1331.7246,"53.36328"
3,130.43417,"input_u * 19.93733"
5,2.8499215,"(input_u * input_u) * 5.19471"
7,1.9455677,"((input_u * 4.799438) + 1.569248) * input_u"
9,1.9414563,"(((input_u * 4.8210597) + 1.436659) * input_u) - -0.17891231"
11,1.9414562,"(input_u * ((input_u + 1.4366077) + (input_u * 3.821042))) + 0.17936994"
12,1.9310025,"(sqrt(input_u * input_u) * ((input_u + input_u) + 0.70560944)) / 0.41928047"
14,1.9293888,"(sqrt((input_u * 0.4940742) * input_u) / 0.29319736) * ((input_u + 0.6587615) + input_u)"
15,1.9069526,"(((input_u + (-1.0908642 / (input_u + 1.7646239))) / 0.2771954) + (input_u - -3.0375888)) * input_u"
18,1.887147,"(sqrt((input_u * input_u) * 0.4058779) / 0.27016848) * (input_u + ((-0.26015687 / input_u) + (input_u + 0.87125474)))"
20,1.8831989,"(sqrt((input_u * input_u) * 4.935588) * (((((-0.25572866 / input_u) + 0.8054395) + input_u) + input_u) * 1.0671669)) + 0.18162899"
25,1.8504677,"(input_u + (input_u * ((((((input_u / input_u) + (1.7849125 / ((input_u + 1.1019058) / input_u))) + input_u) + -1.8845628) / 0.2888909) + input_u))) - -0.6084168"
