Complexity,Loss,Equation
1,1602.3832,"43.73519"
3,165.03886,"input_u * 19.78151"
5,11.80382,"input_u * (input_u / 0.19333827)"
7,10.993628,"(input_u * (input_u - 0.28363493)) * 5.5684342"
9,10.695259,"((input_u - 0.22125487) * (input_u * 5.536928)) + -0.8773162"
11,10.24097,"((input_u * -0.2927966) + 7.1263976) * ((input_u + -0.5146051) * input_u)"
13,8.957331,"((input_u + -0.60803384) * (input_u * ((input_u * -0.48603776) + 8.244254))) + -1.9940013"
17,8.432761,"((input_u + 7.412501) * (((input_u + -0.59188825) - (input_u * (input_u * 0.096118145))) * input_u)) - 1.5188062"
19,8.201245,"(((input_u + 5.157684) - ((input_u * 0.1876569) * input_u)) * ((input_u * (input_u + 0.44906417)) - input_u)) - 0.95969695"
25,3.7726266,"(((input_u + ((-3.8685174 / ((3.1980186 / input_u) + (input_u + -3.2134366))) - 2.1673245)) * (3.3416061 - input_u)) + ((input_u * input_u) * 4.6713967)) + 8.294318"
27,3.7705288,"(((((input_u + (-3.8685174 / (((3.1980186 / input_u) + input_u) + -3.2134366))) - 2.1673245) * (3.3416061 - input_u)) + ((input_u * input_u) * 4.6713967)) + 8.294318) - -0.25962138"
29,3.0557554,"(input_u * ((input_u * 5.1673393) - 3.6163902)) + (input_u + (((3.4396782 - input_u) * ((input_u + (-1.8483114 / (((3.029755 / input_u) + -3.285053) + input_u))) - 2.880793)) + 10.983994))"
