Complexity,Loss,Equation
1,43.998787,"3.7848523"
3,24.554594,"input_u * 6.047162"
5,15.662662,"(input_u * input_u) * 4.1134534"
7,14.698318,"((input_u * input_u) * input_u) * 2.2157292"
9,14.013424,"((input_u * (input_u * input_u)) * input_u) + 1.2634919"
11,13.784657,"((-1.2842877 / (input_u + -2.6398902)) + 2.1689866) * (input_u * input_u)"
13,13.5042515,"(input_u * (-9.1156845 / (input_u + -2.874609))) + ((input_u * -2.5052788) + 0.8612701)"
15,13.504052,"((input_u * ((-3.1281316 / (input_u + -2.8669195)) * input_u)) + 0.86453897) + (input_u * 0.69392705)"
17,13.503092,"(((input_u - -0.3991616) * input_u) + (((input_u * -2.012476) * input_u) / (input_u + -2.7275279))) + 0.7227696"
21,13.499094,"(((input_u * -2.702026) / (input_u + -2.82001)) + ((((-0.38249367 - (0.5730535 / input_u)) - input_u) * -1.4031245) - input_u)) * input_u"
23,13.497579,"((input_u * (((input_u * 1.8553264) * ((-1.2817668 / (input_u + -2.772554)) + 0.32717374)) - (-0.78154117 / input_u))) - (input_u * -1.534953)) - input_u"
