Complexity,Loss,Equation
1,44.151745,"3.7926593"
3,24.229042,"input_u * 6.1348248"
5,14.868545,"input_u * (input_u / 0.23780532)"
7,13.74308,"(input_u * (input_u * input_u)) / 0.4400469"
9,13.135956,"((input_u * input_u) * (input_u * input_u)) + 1.3232878"
11,12.869093,"(((input_u * (input_u * input_u)) + 0.62381) * input_u) - -1.0264782"
13,12.837558,"((input_u - 0.12632713) * ((input_u * (input_u * input_u)) + 0.95899)) + 1.1615077"
15,12.837557,"(input_u + 1.0354652) + ((input_u + -0.12642975) * ((input_u * (input_u * input_u)) + -0.040817566))"
16,12.830557,"(input_u * (((input_u + -0.2825816) * (input_u * input_u)) + sqrt(input_u + 0.67956966))) + 0.9098128"
19,12.802667,"(((input_u * input_u) * (input_u * ((input_u * 1.3192322) + -1.2620523))) + (input_u * input_u)) + (input_u + 0.88542104)"
21,12.774598,"(input_u + 0.966109) + (((input_u / sqrt(sqrt((input_u / input_u) - (input_u * 0.40576792)))) * (input_u * input_u)) / 0.85073906)"
22,12.627062,"((((input_u * input_u) * sqrt((((input_u * input_u) + -6.8153186) * input_u) + 7.8426385)) * input_u) + (input_u * input_u)) + 0.9677314"
26,12.564019,"(sqrt(((((input_u + -1.9753239) * (input_u * (input_u * (input_u * 0.33796838)))) + 1.7823435) * input_u) * input_u) * (input_u + (input_u * input_u))) + 0.8969401"
27,12.453593,"(sqrt((input_u * sqrt(((((input_u * input_u) * input_u) * (input_u + -2.1213062)) * input_u) + 4.700913)) * input_u) * ((input_u * input_u) + input_u)) + 0.95674086"
29,12.401442,"(sqrt((sqrt(((input_u * (input_u * input_u)) * ((input_u + -2.156544) * input_u)) + 4.897824) * input_u) * input_u) * ((input_u + (input_u * input_u)) / 0.9377067)) + 0.8039076"
