Complexity,Loss,Equation
1,1331.7247,"53.363304"
3,130.43417,"input_u * 19.93734"
5,2.8499217,"input_u * (input_u * 5.1947274)"
7,1.945568,"input_u * ((input_u * 4.7993665) + 1.5695329)"
9,1.9434351,"(input_u + 0.277828) * ((input_u * 4.8040066) + 0.20084898)"
11,1.9414566,"(input_u * (((input_u * 3.282562) + 0.978638) * 1.4686472)) - -0.17861798"
14,1.9284955,"(((input_u + input_u) + input_u) - -1.0016062) * sqrt((input_u * input_u) * 2.5512004)"
15,1.8817246,"(input_u / (input_u + 1.3161372)) * (((input_u / 0.9902336) * (input_u + 2.0587468)) * 4.5137787)"
19,1.8661169,"(((input_u / (input_u + 0.69705164)) * 3.2936819) * (((input_u / 1.0871646) * (input_u + 1.566561)) * 1.5163066)) - input_u"
21,1.8466113,"(((input_u * 2.4091032) / (input_u + 1.0041258)) * (((input_u * 3.464844) - 0.7687375) + (input_u * (input_u / 0.5357219)))) - -0.43048608"
25,1.8463192,"(((((input_u * 2.4843767) / (input_u + 0.9562837)) * ((0.45969376 - (input_u + input_u)) * ((-1.5906903 / input_u) - 0.7055081))) + input_u) * input_u) - -0.4183775"
