Complexity,Loss,Equation
1,646.36774,"72.18907"
3,120.56058,"input_u * 20.349087"
5,2.5405972,"(input_u * 5.1895556) * input_u"
7,1.7944268,"((input_u + 0.31398165) * input_u) * 4.8126173"
9,1.7466487,"(((input_u * 4.343174) + 4.8120403) * input_u) - 5.554572"
11,1.7466486,"(((input_u + 4.8116064) - (input_u * -3.343182)) * input_u) + -5.553002"
12,1.6192763,"((sqrt(input_u + -1.9770966) + (input_u * input_u)) * 4.748526) - -0.38735572"
13,1.6129371,"(((input_u * input_u) + ((input_u * -5.788858) + 38.05293)) * input_u) + -40.75061"
14,1.6112626,"((sqrt(input_u + -1.9770966) + (input_u * input_u)) * 4.748526) - (-1.3776538 / input_u)"
15,1.6094222,"((input_u * ((input_u * input_u) + ((input_u * -6.2756624) + 37.9183))) + -40.76599) * 1.1116139"
20,1.4950392,"sqrt(((input_u + -1.8862711) * 1019.9361) + (input_u * ((((input_u * (input_u * input_u)) + 4.7168984) * 4.256616) * input_u)))"
22,1.4790252,"sqrt((input_u * (((input_u * (input_u * (input_u * input_u))) - 1.9632258) * 4.247643)) + ((input_u + -1.8806033) * 1019.6526)) + 2.189354"
24,1.4772593,"sqrt(((input_u + -1.8897712) * 1019.6828) + ((((((input_u * (input_u * input_u)) * input_u) - input_u) * input_u) * 4.2559175) + input_u)) + 2.3839755"
30,1.456302,"(sqrt((input_u + -1.9925109) * (((input_u * ((input_u + (6.750051 - input_u)) * input_u)) * ((input_u * input_u) - (input_u / input_u))) + 1019.88513)) * (input_u / input_u)) + 9.40507"
