Complexity,Loss,Equation
1,1602.3832,"43.726753"
3,165.03886,"input_u * 19.781517"
5,11.803821,"(input_u * input_u) * 5.1723294"
7,10.993626,"(input_u * 5.568455) * (input_u + -0.2836493)"
9,10.695257,"(input_u * ((input_u * 5.5369797) + -1.225202)) + -0.87761"
11,10.695252,"input_u + (((input_u + -0.40192872) * (input_u * 5.537007)) + -0.87788063)"
17,10.695249,"(((((input_u + 0.36836588) + ((input_u * 4.5368896) + -2.593116)) * input_u) + -0.8883876) + input_u) - -0.010425385"
18,10.473961,"((((input_u * 5.6889215) + input_u) * ((-0.22580428 / sqrt(input_u * input_u)) + input_u)) + -1.5267345) * 0.7968304"
19,10.122924,"(((input_u + 0.70998126) - sqrt(sqrt(0.8197688 / (input_u * input_u)))) * ((input_u * 3.9760952) + input_u)) + -1.3520145"
23,9.777157,"(((((input_u * 2.372683) - (((input_u * input_u) + input_u) * 0.09750066)) + input_u) * (input_u + input_u)) - 1.2526871) - (input_u + input_u)"
24,8.388041,"(-1.1541768 - input_u) + ((((3.861387 - ((input_u + 1.868709) * 0.27187377)) * input_u) + sqrt(input_u * input_u)) * ((input_u + input_u) - 1.2056918))"
28,7.5943675,"(input_u + (((input_u * ((((input_u + input_u) * 3.2328498) - ((input_u * input_u) * 0.48379895)) + -2.1405408)) + (sqrt(input_u * input_u) / -0.25741363)) - input_u)) * 1.7322704"
30,7.3969536,"((input_u + ((input_u * ((((input_u - 0.49372056) + input_u) * 5.8627467) - (((input_u * input_u) + input_u) * 0.785003))) + 0.9647711)) + (sqrt(input_u * input_u) / -0.1313575)) - input_u"
