Complexity,Loss,Equation
1,1331.7246,"53.363262"
3,130.43419,"input_u * 19.937328"
5,2.8499227,"(input_u * 5.194693) * input_u"
7,1.9455676,"(input_u * 4.7993674) * (input_u + 0.32702848)"
9,1.9414563,"(input_u * ((input_u + 0.2980539) * 4.820989)) - -0.17904253"
10,1.9284946,"sqrt(input_u * input_u) * (1.6015995 - (input_u * -4.791277))"
12,1.9254384,"(input_u * (4.7583313 * input_u)) + sqrt(input_u / (0.32910693 / input_u))"
13,1.9162822,"((-0.3327798 - sqrt(input_u * input_u)) * -4.7929373) * sqrt(input_u * input_u)"
15,1.9017042,"(input_u * (-5.894673 * (input_u * (((input_u * 0.019717786) - -0.16248555) + -1.1182309)))) - -0.51024204"
16,1.890416,"((-0.61588544 / input_u) + 4.7583313) * ((input_u * input_u) + sqrt(input_u / (3.8330114 / input_u)))"
18,1.8260128,"sqrt((((input_u + input_u) + 2.3158019) * ((input_u * input_u) * (input_u * 10.716257))) + 2.7192047) + -1.0282353"
20,1.7964864,"sqrt(((input_u + input_u) * (input_u * (((input_u + -0.49566734) * 5.7054667) / (0.55627763 / (input_u + 2.0091074))))) + 1.6728736)"
24,1.7905749,"sqrt(((input_u + input_u) * (input_u * ((input_u + -0.46046916) * (5.720879 / (0.55808365 / (input_u + 1.9595654)))))) + (1.6845124 - (input_u + input_u)))"
