Complexity,Loss,Equation
1,1602.3832,"43.735218"
3,165.03886,"input_u * 19.781376"
5,11.80382,"(input_u * input_u) / 0.19333747"
7,10.99363,"(input_u + -0.28360698) * (input_u * 5.568372)"
9,10.695257,"(((input_u * 5.536867) - 1.2246072) * input_u) - 0.87817043"
11,10.510716,"((input_u - 0.71523875) * input_u) * ((input_u * -0.33354867) + 7.652693)"
13,8.330808,"((((input_u * -0.44264922) + 3.1736274) * (input_u * input_u)) + -1.180669) * input_u"
15,8.146575,"(input_u * ((input_u * -0.40836138) + 2.9435022)) * ((input_u * (input_u + 0.22686112)) + -0.7000617)"
17,8.133818,"((input_u * ((input_u * -0.40836138) + 2.9435022)) * ((input_u * (input_u + 0.22686112)) + -0.7000617)) + 0.10637731"
18,7.4931574,"sqrt(input_u + 0.50410885) * (0.081361905 + (((input_u + -0.8736127) * ((input_u * -0.72888476) + 6.0941834)) * input_u))"
20,7.460877,"(sqrt(input_u + 0.5407911) * (((input_u + -1.0479039) * (((input_u * -0.777604) + 6.364877) * input_u)) + 1.6540504)) + -0.85224944"
