Complexity,Loss,Equation
1,83.454926,"8.172458"
3,12.478805,"input_u * 10.000259"
5,1.946148,"input_u * (input_u * 5.80358)"
7,1.8905842,"((input_u * input_u) + 0.054764476) * 5.705825"
9,1.8535485,"((input_u * (input_u + -0.13241062)) + 0.08736672) * 6.068331"
11,1.853353,"((input_u + input_u) * ((input_u * 3.0324917) + -0.39007613)) - -0.5091187"
13,1.5640016,"(input_u * ((((3.3317838 - input_u) * input_u) + 3.0811005) * input_u)) - -0.42076063"
15,1.3935372,"((input_u * 2.5070422) * ((3.2894192 - input_u) * ((input_u + -0.2186251) * input_u))) - -0.8100048"
17,1.3486357,"((((3.4584982 - input_u) * ((input_u + input_u) * input_u)) + -1.5487043) * (input_u + 0.23245662)) + 1.1706662"
19,1.3463984,"((((3.3727746 - input_u) * (((input_u + input_u) * input_u) + -0.5832955)) * (input_u + 0.21505266)) + 1.048293) - -0.19024608"
22,1.346393,"((3.3647385 - input_u) * ((input_u + 0.20760621) * ((input_u * (input_u + input_u)) + -0.65263885))) + sqrt((input_u * 0.5625261) + 1.6097872)"
24,1.3368534,"sqrt((input_u * input_u) + (0.25241706 - input_u)) + ((((input_u + -0.06668302) * (input_u * (input_u + input_u))) * (3.424739 - input_u)) + 0.29485196)"
26,1.320766,"sqrt((input_u * input_u) + (0.26840743 - input_u)) + (((input_u + 0.075219095) * (((3.3996086 - input_u) * ((input_u + input_u) * input_u)) + -0.64538693)) + 0.38025945)"
29,1.3207203,"((((1.2761644 / sqrt(input_u * input_u)) + input_u) - 3.2632422) * sqrt(input_u * input_u)) + ((input_u + input_u) * ((-0.33523232 - input_u) * ((input_u + -3.3430543) * input_u)))"
