Complexity,Loss,Equation
1,1500.9811,"36.62587"
3,159.86493,"input_u * 19.403334"
5,10.18026,"(input_u * 5.1775913) * input_u"
7,9.999864,"((input_u * 5.3590293) + -0.7165861) * input_u"
9,9.961545,"((input_u * 5.3363595) * (input_u - 0.10224043)) - 0.30579478"
11,9.961542,"((input_u - 0.29598388) * ((input_u + input_u) + 0.38735992)) * 2.6682277"
12,9.956907,"input_u * (sqrt(input_u * input_u) + ((input_u - 0.18027595) * 4.3775024))"
14,9.954287,"((sqrt(input_u * input_u) + input_u) + (input_u * 3.3842165)) * (input_u - 0.15147053)"
15,9.077587,"(input_u * (((((-1.1021597 - input_u) * 0.21921152) - -1.7985216) * input_u) + 2.5340707)) * input_u"
17,9.071518,"((input_u * (((((-1.1021597 - input_u) * 0.21921152) - -1.7985216) * input_u) + 2.5340707)) * input_u) + 0.10438021"
19,8.956981,"(((input_u * input_u) * (((-0.496016 / input_u) - (input_u * 0.20082599)) - -1.7769489)) * (input_u + 2.1722052)) + 0.1542495"
23,8.807657,"(((((((2.285608 / input_u) - (input_u * 1.2045484)) - -13.240148) * (input_u * input_u)) + 0.75869894) / (input_u + 2.3551338)) - 1.7493657) * input_u"
25,8.680547,"(((input_u * ((((0.47887763 / input_u) - input_u) * 0.88199973) - 0.04716555)) * input_u) * ((input_u + -12.596448) / (input_u + 2.0266454))) - (-0.4677933 - input_u)"
27,8.586545,"((input_u * ((((0.5228829 / input_u) - input_u) * 0.8512265) - -0.3858159)) * ((input_u * (input_u + -12.402838)) / (input_u + 1.2203176))) - ((-0.92120266 - input_u) - input_u)"
