Complexity,Loss,Equation
1,43.998787,"3.7848523"
3,24.554594,"input_u * 6.047503"
5,15.6626625,"input_u * (input_u / 0.24313124)"
7,14.6983185,"(input_u * input_u) * (input_u * 2.215726)"
9,14.013425,"(((input_u * input_u) * input_u) * input_u) + 1.2636093"
11,13.850857,"((((input_u * input_u) * input_u) - -0.4854618) * input_u) + 1.0292408"
12,13.845598,"((input_u * input_u) * (input_u * input_u)) + sqrt(input_u - -1.141683)"
13,13.831944,"((input_u * ((input_u * (input_u * input_u)) - -0.4854618)) + 1.0292408) / 1.019079"
16,13.82195,"sqrt((input_u * 1.4185075) - -1.3157372) + ((input_u * ((input_u * input_u) / 1.0535156)) * input_u)"
17,13.765004,"(input_u * ((input_u + ((input_u * input_u) * (input_u + -0.601051))) + 1.7040579)) - (input_u + -0.8439738)"
18,13.518472,"sqrt((((input_u + (input_u * input_u)) * input_u) / (((3.2903647 / input_u) - 1.285154) / 8.317504)) - -0.8002281)"
20,13.507677,"sqrt((((input_u + 2.4812465) * (input_u * ((input_u / ((6.1191883 / input_u) - 2.4149806)) / -0.9158605))) / -0.11092071) - -0.83877033)"
24,13.507657,"sqrt((((((input_u + 1.054532) - -0.95993686) + 0.537733) * (input_u * ((input_u / ((6.12232 / input_u) - 2.4167235)) / -0.91130567))) / -0.11326825) - -0.8375157)"
