Complexity,Loss,Equation
1,1331.7247,"53.363033"
3,130.43417,"input_u * 19.937359"
5,2.8499217,"input_u * (input_u * 5.194687)"
7,1.9455677,"((input_u * 4.799359) + 1.5695635) * input_u"
12,1.880233,"(input_u * input_u) * sqrt((input_u * (input_u - 8.764191)) + 45.820427)"
16,1.8740951,"sqrt(((input_u - 8.690959) * input_u) + 45.692425) * (((input_u - 0.02079903) * input_u) + 0.028574858)"
18,1.8640659,"((input_u / 0.21183294) * input_u) + (sqrt(((input_u * input_u) / 0.23900962) - (input_u + -0.7704275)) - 0.45714754)"
22,1.8309983,"sqrt((0.19326395 - ((input_u + input_u) + (-0.37121114 - (input_u * (input_u / 0.22027647))))) - input_u) + (input_u * (input_u / 0.21259902))"
24,1.8301399,"sqrt((0.19326395 - ((input_u + ((input_u - ((input_u / 0.22027647) * input_u)) + -0.37121114)) + 0.051750213)) - input_u) + ((input_u * input_u) / 0.21259902)"
26,1.8147287,"(sqrt((0.74354136 - ((input_u + -0.33929613) - ((input_u - 0.5036653) * (input_u / 0.1464028)))) - input_u) + (((input_u * input_u) / 0.21621421) - 0.7650572)) - -0.53617907"
30,1.8146793,"sqrt(((input_u * -1.1925516) + 0.1262893) - (((input_u - 0.1947382) / 0.74187243) + ((-0.6577072 - ((input_u / 0.19471037) * input_u)) + (input_u + input_u)))) + (input_u * (input_u / 0.21327703))"
