Complexity,Loss,Equation
1,646.36774,"72.19069"
3,120.56057,"input_u * 20.349092"
5,2.5405972,"(input_u * 5.1895556) * input_u"
7,1.7944266,"((input_u - -0.3140032) * input_u) * 4.812598"
9,1.7466487,"(input_u - 0.7051397) * ((input_u + 1.8126221) * 4.3434243)"
11,1.7466484,"(input_u + (input_u * ((input_u * 4.3426657) - -3.8155107))) - 5.560178"
12,1.7120422,"(input_u * ((input_u * sqrt(input_u)) + (input_u - -11.695589))) - 11.681463"
13,1.6129366,"(input_u * (((input_u - 5.788812) * input_u) - -37.052723)) + (input_u - 40.750526)"
15,1.6129363,"((((input_u * (input_u - 5.788667)) - -46.5295) * input_u) + (input_u * -8.477866)) - 40.748535"
18,1.5583042,"(input_u + sqrt((input_u - 1.9934974) / ((input_u * input_u) * (input_u + -0.89621234)))) * (input_u * 4.946963)"
19,1.0844524,"(((2.7196658 / (input_u * ((input_u + -1.9138288) * 2.150853))) + ((input_u * input_u) * -3.232216)) * -1.5279646) - -4.252595"
22,0.4319342,"((((0.78047043 / (input_u * (1.9167724 * (input_u + -1.9874655)))) + (input_u * (input_u * -3.2093961))) * -1.571834) - sqrt(input_u)) - -4.6090603"
24,0.26059112,"((((0.78047043 / (((input_u * 1.4219592) * (input_u + -1.9874655)) * 1.9167724)) + (input_u * (input_u * -3.2093961))) * -1.571834) - sqrt(input_u)) - -4.6090603"
25,0.20119971,"((((0.9552536 / ((input_u * (input_u + -1.9866568)) * (input_u * sqrt(input_u)))) + ((input_u * -3.209994) * input_u)) * -1.5652936) - sqrt(input_u)) - -4.6543283"
30,0.17755412,"(((((0.96730304 / (((input_u * (0.7376118 * input_u)) * input_u) * (input_u + -1.9874655))) + ((input_u * input_u) * -3.2093961)) * -1.571834) - sqrt(input_u + -1.9874655)) - -4.6090603) - 1.0190122"
