Complexity,Loss,Equation
1,83.454926,"8.172459"
3,12.478805,"input_u * 10.000093"
5,1.9461479,"(input_u * input_u) * 5.803649"
7,1.8905845,"((input_u * input_u) * 5.7058196) + 0.3124929"
9,1.6627136,"(((8.822278 - input_u) * input_u) - 2.0086386) * input_u"
11,1.5952911,"input_u * ((((6.2747765 - input_u) * 1.7784139) * input_u) - 3.5482929)"
15,1.5491877,"(input_u * (((((6.2710466 - input_u) * 1.780478) * input_u) - 3.389582) + -0.45305052)) - -0.2903358"
17,1.5170687,"(input_u * (((((7.0215707 - input_u) * input_u) * 1.75246) - (input_u + 2.6354632)) - 1.5480298)) + 0.46653017"
21,1.4154842,"((((input_u * (5.142038 - (input_u * 1.9999155))) + (((input_u + input_u) * 1.8232659) / 2.0940328)) * input_u) * input_u) + 0.63550067"
23,1.3462422,"((input_u + 0.65853584) * (((input_u + 1.0326252) - (input_u * 3.4727082)) * (input_u + ((-3.6907132 - (input_u * -0.79328835)) * input_u)))) - -0.80866647"
27,1.3460953,"(0.7992709 - input_u) + (((input_u * ((input_u + (((12.571069 - (input_u * 2.0998492)) * -0.38142103) * input_u)) + input_u)) * (-0.9150835 - (input_u * 2.3680513))) - input_u)"
