Complexity,Loss,Equation
1,1435.7318,"54.326164"
3,151.27332,"input_u * 20.049793"
5,8.89182,"input_u * (input_u * 5.1801996)"
7,8.68365,"-0.8077447 - ((input_u * -5.2323666) * input_u)"
9,8.677289,"(input_u * ((input_u - 0.029376982) * 5.265713)) + -0.7284146"
11,8.677267,"(((input_u * 4.267161) + input_u) * (input_u - 0.03022911)) - 0.72968704"
13,7.8362546,"input_u * ((input_u * ((input_u * -1.3571829) + (input_u - -7.6633673))) + -4.103655)"
15,7.0830016,"(((input_u / 30.637196) * (input_u - 16.34423)) * (8.734944 - (input_u * 15.450785))) + -1.938218"
17,7.082984,"((input_u / 30.635303) * ((input_u - 16.289005) * ((8.633818 - (input_u * 15.525506)) + 0.16177048))) + -1.9407401"
19,6.087122,"((input_u + (5.205376 / ((4.1457 / (input_u * -0.92918766)) + (-9.089215 / (15.474533 / input_u))))) * 32.088585) + input_u"
21,6.0431004,"(((input_u + (5.223622 / ((0.81778544 / (input_u * -0.17879513)) + (-8.940488 / (16.030212 / input_u))))) * 32.63342) + input_u) - -0.005209446"
27,5.864663,"(input_u + ((3.3408632 / ((0.776973 / (input_u / -1.7814555)) + (-4.408177 / ((-5.1492553 / input_u) * -2.7599316)))) - ((input_u - input_u) - input_u))) * (input_u + 10.209618)"
