Complexity,Loss,Equation
1,44.15175,"3.7927163"
3,24.229042,"input_u * 6.1348634"
5,14.868546,"(input_u * 4.2051783) * input_u"
7,13.743081,"(input_u * (input_u * 2.2724586)) * input_u"
9,13.135956,"((input_u * (input_u * input_u)) * input_u) + 1.3232625"
11,12.869093,"(input_u * (((input_u * input_u) * input_u) + 0.6242873)) + 1.0259091"
13,12.8378935,"(input_u * (((input_u - 0.13746122) * input_u) * input_u)) + (input_u - -1.03612)"
15,12.808204,"(input_u + 0.83432925) * ((((input_u * 0.3053792) * (input_u * input_u)) * input_u) + 1.3621074)"
17,12.710206,"((((input_u * ((input_u * 0.12522484) * (input_u * input_u))) + 2.2298377) * input_u) * input_u) + 0.6739266"
19,12.664174,"(input_u * (input_u * ((input_u * ((((input_u * 0.05202202) * input_u) * input_u) * input_u)) + 2.519591))) + 0.6112112"
21,12.655963,"(((input_u * input_u) * ((input_u * (((input_u * 0.058200106) * (input_u * input_u)) * input_u)) + 1.7409986)) + 0.7396654) + input_u"
23,12.597065,"((input_u * (input_u + ((input_u * (input_u * (((input_u * input_u) * (input_u + -1.938201)) * 0.1816325))) + 1.8788259))) * input_u) + 0.667231"
