Complexity,Loss,Equation
1,646.3678,"72.192406"
3,120.56058,"input_u * 20.348495"
5,2.5405972,"(input_u * 5.1895556) * input_u"
7,1.7944268,"(input_u * (input_u + 0.31392607)) * 4.8126764"
9,1.7466488,"(input_u * ((input_u * 4.3420563) - -4.819529)) + -5.5663424"
11,1.6129367,"((((input_u + -5.7886195) * input_u) + 38.051296) * input_u) - 40.74796"
13,1.6129361,"(input_u * (input_u + (((input_u + -6.7887287) * input_u) + 38.052113))) - 40.749435"
15,1.6104096,"(input_u * ((input_u * ((input_u + -7.691274) + sqrt(sqrt(input_u)))) + 40.55506)) - 42.964073"
16,1.5824642,"((((input_u + (input_u + 11.527618)) + (sqrt(input_u) * -8.245063)) * input_u) - 6.3514624) * 14.275863"
20,0.11767158,"(((((input_u * input_u) + 1.5232849) * 5.1359625) - sqrt(input_u / ((input_u * input_u) + -3.9952018))) - input_u) + -2.459927"
