Complexity,Loss,Equation
1,646.36774,"72.189064"
3,120.560585,"input_u * 20.348808"
5,2.5405972,"(input_u * 5.1895556) * input_u"
7,1.7944266,"input_u * ((input_u * 4.812619) - -1.511065)"
9,1.7466484,"(((input_u * 4.342796) - -4.814666) * input_u) + -5.558911"
11,1.7466481,"(input_u * ((input_u + 4.8148794) + (input_u * 3.3427808))) - 5.5595136"
13,1.6144369,"(((input_u * (input_u + -6.853794)) + (input_u + 38.46943)) * input_u) + -41.362427"
15,1.612943,"(((input_u + -6.7938747) * input_u) * input_u) + (((input_u + 38.086685) * input_u) + -40.80404)"
17,1.583537,"(input_u * (input_u + ((((input_u - 2.791537) + -2.7423055) * input_u) + 25.47711))) + (-42.580975 / input_u)"
24,0.5628969,"((input_u * 5.0495763) * sqrt((input_u * input_u) + 2.4248042)) + ((input_u - input_u) - ((0.51654017 / (input_u + -1.9672477)) + (input_u - 0.5885028)))"
