Complexity,Loss,Equation
1,43.998787,"3.7848523"
3,24.554594,"input_u * 6.04743"
5,15.6626625,"(input_u * input_u) * 4.1132865"
7,14.6983185,"input_u * ((input_u * 2.2157378) * input_u)"
9,14.013425,"(((input_u * input_u) * input_u) * input_u) + 1.2636093"
11,13.850857,"(input_u * (((input_u * input_u) * input_u) + 0.4850203)) + 1.0296783"
12,13.845597,"sqrt(input_u + 1.1412419) + ((input_u * input_u) * (input_u * input_u))"
13,13.750198,"(input_u * input_u) * (((input_u * (input_u - 1.9488583)) * input_u) + 3.9011505)"
15,13.541893,"((input_u * input_u) * (((input_u * (input_u - 1.9488583)) * input_u) + 3.9011505)) + 0.45643163"
17,13.53918,"0.45643163 + ((input_u * input_u) * (3.9011505 + (((-0.0571778 + input_u) * (input_u - 1.9488583)) * input_u)))"
19,13.5103655,"(input_u + 0.5779709) + (((3.185816 + (input_u * ((input_u - 1.7994373) * input_u))) * (input_u + -0.20895264)) * input_u)"
23,13.503671,"((input_u + (((((input_u * input_u) + 1.2515156) * (input_u - 2.2811394)) + 4.550669) * input_u)) * input_u) + (input_u - (input_u + -0.64928395))"
25,13.488295,"(input_u + (((input_u + 0.4490241) * ((input_u * (input_u - 0.8954062)) * ((((input_u - 3.0315857) * input_u) * input_u) + 5.307376))) * input_u)) + 1.2031089"
26,13.476396,"(input_u * (sqrt(((((input_u * 2.1055849) - 1.154584) * input_u) + 4.199563) * (((input_u * (input_u - 2.4097025)) * input_u) + 3.2336614)) * input_u)) + 0.4192114"
29,13.310437,"(((input_u * ((input_u - 1.0843877) * ((input_u * input_u) + -2.510085))) * (input_u * (input_u - 1.4510528))) + 0.95010346) + (input_u + (input_u * ((input_u + -0.54985535) * 3.5118246)))"
