Complexity,Loss,Equation
1,1331.7246,"53.363243"
3,130.43419,"input_u * 19.936882"
5,2.849921,"(input_u * 5.1946826) * input_u"
7,1.945568,"((input_u * 4.7993903) + 1.5694398) * input_u"
9,1.9439183,"((-0.265062 - input_u) * (-0.060221992 - input_u)) / 0.20842522"
11,1.9414563,"(input_u * (((input_u + input_u) * 2.4105122) + 1.4367532)) + 0.17908674"
13,1.9127846,"(((input_u * ((input_u * -0.047574684) + 5.123727)) * input_u) + input_u) - -0.189731"
14,1.9005216,"(input_u / sqrt((input_u + 0.563839) / (input_u - -1.9141425))) * (input_u / 0.21934377)"
15,1.8749084,"((input_u / 0.22611642) - 0.35095027) * (input_u + ((input_u + -0.19750491) / (input_u - -0.79973304)))"
17,1.8643674,"(((input_u / 0.2253459) - -0.09351626) * (input_u + ((input_u + -0.31531435) / (input_u - -1.77888)))) - -0.29956192"
19,1.8593845,"((((input_u / 0.2253459) - -0.09351626) * (((input_u + -0.31531435) / (input_u - -1.77888)) + input_u)) - -0.29956192) + 0.059325773"
