Complexity,Loss,Equation
1,1602.3832,"43.735218"
3,165.03886,"input_u * 19.781517"
5,11.803821,"(input_u * input_u) * 5.1723294"
7,10.993627,"input_u * (-1.5794994 - (input_u * -5.568459))"
9,10.695805,"((0.5279085 - input_u) * -5.538402) * (input_u + 0.30789793)"
11,10.695254,"((0.8709136 - (input_u * -5.5369406)) * (input_u + -0.3785561)) - 0.54754335"
12,10.434257,"(sqrt((input_u * -2.6219723) + 12.134103) + input_u) * (input_u * input_u)"
14,10.256031,"((sqrt(input_u - -0.73784673) + -1.1219223) * ((input_u + input_u) / 0.09856298)) + -2.6586986"
15,8.742214,"((input_u * (input_u + ((input_u + -1.3724997) * (input_u * -0.16150343)))) * input_u) * 2.2972229"
17,8.033146,"(input_u * 1.9237319) * ((input_u - 0.69930637) * (((input_u * (input_u * -0.16653442)) + 1.9965577) + input_u))"
19,8.024318,"((((input_u * (input_u * -0.16653442)) + 1.9965577) + input_u) * ((input_u * 1.9237319) * (input_u - 0.69930637))) - 0.08023614"
21,7.9928217,"((input_u * (((input_u * input_u) + (((input_u * (input_u * -0.1554677)) + 1.7866906) * input_u)) + -1.6348463)) * 1.8393528) - 0.52340835"
22,7.601379,"(((((input_u + input_u) * -0.29141885) + 4.6259604) * (sqrt((input_u * (input_u * input_u)) - -0.9393592) + -3.6899002)) - -10.975644) * input_u"
24,7.466138,"input_u * ((((((input_u + input_u) * -0.3229408) + 4.9379096) * (sqrt(((input_u * input_u) * input_u) - -1.3058056) + -3.8448508)) - -10.729818) + 0.42108634)"
25,7.3767586,"input_u * (((sqrt(input_u * input_u) * -0.9013872) + 7.434357) * (sqrt(((((input_u * input_u) * input_u) - -0.32595274) + 0.25230977) * 0.6404191) - 0.904266))"
28,7.1888843,"(((sqrt(((input_u + input_u) * -0.5358121) + ((input_u * (input_u * input_u)) - -0.77629495)) + -3.456316) * (((input_u + input_u) * -0.31892532) + 4.8480663)) - -11.220516) * input_u"
