Complexity,Loss,Equation
1,1602.7765,"43.634247"
3,168.19217,"input_u * 19.759441"
5,12.670317,"(input_u * 5.1708827) * input_u"
7,11.713797,"((input_u - 0.30566722) * input_u) * 5.600332"
9,11.390502,"(input_u + 0.3026959) * ((input_u - 0.54321694) * 5.566626)"
13,7.8909717,"((input_u / (((20.205221 / input_u) / input_u) + input_u)) * input_u) * 27.486885"
15,7.497393,"(input_u / ((((20.205221 / input_u) / input_u) + -0.04339513) + input_u)) * (input_u * 27.486885)"
17,7.457252,"(((input_u / (((20.205221 / input_u) / input_u) + (-0.04339513 + input_u))) * input_u) * 27.486885) - -0.18642576"
20,7.3776717,"input_u * (((input_u / ((input_u - 1.8460039) + ((22.485304 / input_u) / sqrt(input_u - -3.5934014)))) * 24.617338) - 2.3480597)"
21,4.6893616,"(input_u - (input_u / (((input_u + -2.8633678) / (input_u + -2.0618348)) - input_u))) * (input_u + (input_u + (input_u + input_u)))"
23,4.258555,"((input_u - (input_u / (((input_u + -2.8633678) / (input_u + -2.0618348)) - input_u))) * (input_u + ((input_u + input_u) + input_u))) + 0.59515244"
25,4.228276,"(((input_u + input_u) + ((input_u + input_u) + 0.31253636)) * (input_u - (input_u / (((input_u + -3.2529926) / (input_u + -2.1642041)) - input_u)))) + 0.45303252"
27,3.9685342,"((input_u - (input_u / (((input_u + -3.0431783) / (((input_u + -2.1545382) - input_u) + input_u)) - input_u))) * (input_u + (input_u + (input_u + input_u)))) + 1.0869981"
