Complexity,Loss,Equation
1,1095.6648,"60.33905"
3,144.96152,"input_u * 19.95065"
5,3.1492012,"input_u * (input_u * 5.194679)"
7,2.1153185,"input_u * ((input_u * 4.794116) - -1.5903995)"
9,1.9927238,"(input_u * ((input_u * 4.539761) - -3.1675909)) + -2.17259"
11,1.9927236,"(((input_u * 4.5398216) - -2.1672442) * input_u) + (input_u - 2.1721792)"
12,1.9016482,"(input_u * ((input_u * (sqrt(input_u) + 1.4903789)) + 8.042646)) + -5.058548"
14,1.8995569,"(input_u + -0.5471751) * ((input_u + 9.528832) + (input_u * (sqrt(input_u) + 0.62366885)))"
17,1.894818,"((-2.607963 / input_u) + sqrt(input_u)) + (((input_u + 2.184624) * input_u) * (sqrt(input_u) + 1.2969358))"
18,1.8840237,"((sqrt(input_u) + 1.138204) * ((input_u + 2.6237662) * input_u)) + (-3.8160899 / ((input_u * input_u) + 0.725326))"
20,1.8837465,"((-4.2338796 / ((input_u * input_u) + 0.795159)) + ((input_u * (input_u + 1.9721991)) * (sqrt(input_u) + 1.3138375))) + input_u"
22,1.8801007,"(input_u * ((input_u + 2.4435601) * (sqrt(input_u) + 1.2235746))) + ((-4.1463985 / ((input_u * (input_u * input_u)) + 1.1020101)) + -0.1932323)"
