Complexity,Loss,Equation
1,586.40765,"75.312904"
3,107.897354,"input_u / 0.048524797"
5,2.5081398,"input_u * (input_u * 5.1850452)"
7,1.9443617,"((input_u * 4.835793) + 1.4138033) * input_u"
9,1.8737472,"(input_u * ((input_u * 4.2642584) + 5.4628115)) + -6.8838167"
11,1.7415136,"(((input_u * (input_u + -5.851037)) + 38.535805) * input_u) + -41.674126"
13,0.060717873,"((-0.09070677 / (input_u - 1.9957049)) + 2.9439929) + ((input_u * 5.001997) * input_u)"
15,0.048158985,"((input_u * (input_u * (4.9003634 + 0.10163336))) + 3.1062708) + (-0.090706885 / (input_u - 1.995729))"
17,0.046367988,"(((input_u * (input_u * (4.9003634 + 0.10163336))) + 3.1062708) + (-0.090706885 / (input_u - 1.995729))) - 0.04538102"
19,0.028893422,"(((-0.38771635 / (((input_u * input_u) + -3.9900033) * 1.834101)) + 1.7065972) + input_u) + (input_u * (input_u * 4.8345065))"
21,0.028848052,"(input_u + (((4.8345065 * (input_u * input_u)) + (-0.38771635 / ((-3.9900033 + (input_u * input_u)) * 1.834101))) + 1.7065972)) - 0.012225178"
23,0.028840624,"(input_u + (((4.8345065 * (input_u * input_u)) + (-0.38771635 / ((-3.9900033 + (input_u * input_u)) * 1.834101))) + 1.7065972)) - (0.012225178 * 0.9140845)"
