Complexity,Loss,Equation
1,1753.9469,"39.208122"
3,151.5793,"input_u * 20.190723"
5,11.613822,"(input_u * 5.1622725) * input_u"
7,10.109501,"(input_u * 5.7441115) * (input_u - 0.4121755)"
9,9.916162,"((input_u * (input_u - 0.37080365)) * 5.723678) + -0.6360903"
10,9.794404,"(input_u * 5.9092903) * (sqrt(input_u * input_u) + -0.5142774)"
12,9.763159,"(((sqrt(input_u * input_u) + input_u) + -0.93594325) * 2.9168005) * input_u"
13,9.744797,"input_u * (input_u * (((input_u * -0.20568244) - (3.9692166 / input_u)) + 6.9888797))"
14,9.730649,"input_u * ((sqrt(input_u * input_u) * 3.8597348) - ((2.836065 - input_u) - input_u))"
15,9.188369,"((((input_u * -0.3204654) + 7.6462116) - (4.408009 / input_u)) * (input_u * input_u)) - 1.190552"
23,8.190863,"(((input_u + 0.41679066) * (input_u + (((((input_u / input_u) - input_u) * 0.13727751) * (input_u + input_u)) + input_u))) * input_u) + 0.5264878"
27,7.9150004,"(((((((input_u / input_u) - input_u) * ((input_u * (input_u + input_u)) / input_u)) * 0.14058213) + (input_u + input_u)) * input_u) + -0.6737035) * (input_u + 0.70529467)"
29,7.4141474,"((input_u + (((input_u + input_u) * 0.14921074) * (((input_u + 1.052536) / input_u) - (input_u * (input_u / input_u))))) + input_u) * ((input_u + 1.4283623) * (input_u + -0.72562474))"
