Complexity,Loss,Equation
1,260.13297,"9.465407"
3,69.42411,"input_u * 12.002628"
5,15.191763,"input_u * (input_u * 5.139395)"
7,13.616379,"input_u * ((input_u + 2.279198) * input_u)"
9,13.250275,"(input_u * ((input_u * 0.6972324) - -3.1451936)) * input_u"
10,12.92775,"input_u * (sqrt(input_u * (input_u * 41.748783)) - 3.63344)"
12,12.913447,"((sqrt((input_u * input_u) * 7.9956484) - 1.6559389) * 2.319782) * input_u"
14,12.676934,"((input_u - 0.25549233) * 2.9246347) * (sqrt(input_u * (input_u * 5.687653)) - 1.2173053)"
15,12.368849,"(((((5.8103194 - input_u) * (input_u * input_u)) + -1.5795791) * input_u) * 116.20632) / 170.61853"
17,11.9681225,"(((((input_u * input_u) * (5.938581 - input_u)) + -2.0831974) * 112.40691) * (input_u / 172.8224)) + 0.7869653"
18,11.864844,"(((sqrt(((input_u * -3.4419312) + input_u) - -10.8815975) * (input_u * input_u)) * input_u) - -0.80988073) - input_u"
22,11.792627,"(input_u * ((input_u / 2.0993502) * ((sqrt(((input_u * -2.3630161) + input_u) - -5.7686863) * 3.5547676) * (input_u + -0.5775166)))) + 1.2849629"
24,11.773476,"(sqrt((input_u * -4.7574244) + (input_u - -15.982813)) * ((((input_u * input_u) * (input_u - 0.4909307)) + (input_u - input_u)) + 0.6121449)) - 1.217304"
