Complexity,Loss,Equation
1,355.61993,"26.290613"
3,51.800434,"input_u * 14.369497"
5,2.7495847,"(input_u * 5.387222) * input_u"
7,2.0180614,"input_u * ((input_u * 4.8205557) - -1.5965602)"
8,1.4411756,"(11.300728 * (input_u - 0.5355666)) * sqrt(input_u)"
9,1.2537704,"(input_u * ((input_u * 3.630235) - -6.802872)) + -4.9088717"
11,1.0982718,"(input_u * ((input_u * (input_u - 2.4094338)) - -17.635094)) - 10.396728"
17,1.0982716,"(input_u + (input_u * (input_u * (input_u + (-2.4094298 - (-15.635142 / input_u)))))) + (input_u + -10.396758)"
18,1.0954624,"(input_u * (((input_u + -2.682692) - (-16.638601 / input_u)) * input_u)) + ((sqrt(input_u) * input_u) + -10.137444)"
20,1.0954621,"((input_u * ((input_u + -2.6826904) - (-15.638589 / input_u))) * input_u) + (-10.137424 + (input_u + (input_u * sqrt(input_u))))"
21,1.0742573,"(input_u * (((((input_u - 4.2333455) * (input_u + input_u)) - -32.627693) * input_u) / (input_u - -1.4872506))) + (input_u + -5.8529677)"
23,1.0680463,"(((((((input_u + input_u) * (input_u - 4.232061)) - -34.502266) * (input_u * input_u)) + -1.8064045) / (input_u - -1.9564795)) + -4.1488976) + input_u"
25,0.9630356,"(input_u + (((((input_u * ((((input_u + input_u) * (input_u - 5.2753625)) - -39.474327) * input_u)) + 9.271728) / input_u) - 8.542802) + -16.862034)) + -10.48149"
