Complexity,Loss,Equation
1,596.2074,"77.36286"
3,104.34821,"input_u * 20.853556"
5,2.6332238,"(input_u * 5.180547) * input_u"
7,2.1354733,"((input_u * 4.845416) + 1.3718114) * input_u"
9,2.059732,"(input_u * ((input_u + 1.2094039) * 4.3016453)) - 6.451732"
11,2.0594256,"((input_u * ((input_u * 4.263934) + 4.46505)) + input_u) + -6.887495"
15,1.9067674,"(input_u * (((((input_u + -7.91238) * input_u) + input_u) + 38.92658) + input_u)) - 42.217743"
17,1.9067665,"(input_u * ((input_u + (((input_u + 7.063622) * input_u) - (input_u * 13.975662))) - -38.924362)) + -42.214424"
19,1.9067662,"((input_u * (((input_u + 17.830996) + ((input_u * input_u) - (input_u * 6.9123325))) - -21.09541)) + -13.99589) - 28.22195"
23,1.9067634,"((input_u * ((((input_u + 20.095873) + (input_u * input_u)) - (6.9123983 * input_u)) - -18.831026)) - 21.4337) + (-20.78504 - (0.0037040203 / input_u))"
