Complexity,Loss,Equation
1,1753.9469,"39.20812"
3,151.5793,"input_u * 20.190708"
5,11.613822,"input_u * (input_u * 5.1622725)"
7,10.155462,"(input_u + -0.34757805) / (0.17728394 / input_u)"
9,10.109502,"(input_u + input_u) * ((input_u * 2.872074) - 1.1838095)"
11,9.916162,"((input_u + -0.16019663) * ((input_u * 5.723642) - 1.2053878)) - 0.82890105"
12,9.85467,"(((sqrt(input_u * input_u) + -0.5188959) * input_u) * 5.935614) + 0.217814"
14,9.713047,"(input_u * sqrt((input_u * -0.6347701) - -11.557755)) * ((input_u + input_u) + -1.1111997)"
20,8.557079,"(input_u * input_u) / ((input_u * 0.07125043) + (((sqrt(input_u - -1.2956895) / (input_u * -1.08371)) - -0.6663872) * -0.7364417))"
24,8.152457,"(((input_u * input_u) / ((input_u * 0.07125043) + (((sqrt(input_u - -1.2956895) / (-1.08371 * input_u)) - -0.6663872) * -0.7364417))) - input_u) - -0.80180305"
26,5.612849,"(((input_u - -9.5163) * (input_u + input_u)) / (sqrt(input_u / input_u) + ((3.058432 / ((input_u + -1.2754875) / 0.963771)) / input_u))) - (input_u + -1.8919879)"
28,5.2341247,"(((input_u - -9.516409) * (input_u + input_u)) / (sqrt((input_u + (input_u / -38.31179)) / input_u) + ((2.9478545 / (input_u + -1.2754143)) / input_u))) - (input_u + -1.8919321)"
30,5.2341237,"(((input_u - -9.5163) * (input_u + input_u)) / (sqrt((input_u + (input_u / -38.311607)) / input_u) + ((3.058432 / ((input_u + -1.2754875) / 0.963771)) / input_u))) - (input_u + -1.8919879)"
