Complexity,Loss,Equation
1,944.144,"64.368385"
3,138.13333,"x0 * 20.07606"
5,1.823568,"(x0 * 5.195365) * x0"
7,0.18582872,"(x0 * (x0 * 5.008731)) - -2.8637018"
9,0.17444427,"((x0 - -0.14452302) * (x0 * 4.8951387)) - -1.881582"
10,0.16488099,"sqrt(x0) * (((x0 * 1.1170651) - -5.899123) * x0)"
11,0.1631719,"(sqrt(sqrt(x0)) * ((x0 * 2.495736) - -4.681215)) * x0"
12,0.16180952,"(x0 * (((x0 - sqrt(x0)) - -1.3302037) * 6.3209214)) - 1.2278085"
14,0.15967521,"((x0 * (((x0 * 0.70871496) - sqrt(x0)) - -1.2890234)) - 0.30738607) * 10.128658"
15,0.15248218,"(((x0 * x0) * ((x0 * -0.09370629) + 1.1527451)) + 10.707079) * (x0 - 0.41441888)"
17,0.1517374,"(x0 * (((x0 * (((x0 * -0.104701325) + 1.3189942) * x0)) + 11.590726) - x0)) - 4.9470797"
18,0.109406546,"((x0 + 0.97321427) * sqrt((((x0 * x0) - x0) + 0.0077512357) * (x0 - -16.310474))) - -5.1890597"
19,0.10454663,"((x0 + 0.61397207) * sqrt((((x0 * x0) - sqrt(x0)) * (x0 - -16.286171)) + 0.18845828)) - -5.120866"
21,0.101751804,"(((x0 + 0.34890023) * sqrt((((x0 * x0) - sqrt(x0)) * (x0 - -34.074043)) + 0.38206762)) - -7.3025565) * 0.7697509"
22,0.101028286,"(sqrt(sqrt(x0 + -0.9773425) + (((x0 - sqrt(x0)) * (x0 + x0)) * 15.54053)) * (x0 + 0.91223186)) + 5.2482414"
23,0.09924974,"(sqrt(((x0 - sqrt(x0)) * ((x0 + x0) * 15.638129)) + sqrt(sqrt(x0) + -0.9827832)) * (x0 + 0.89348)) + 5.4108553"
25,0.09924973,"(((x0 + 0.89348) * sqrt(((x0 - sqrt(x0)) * ((x0 + x0) * 15.638129)) + sqrt(sqrt(x0) + -0.9827832))) + 5.2058415) - -0.20501351"
26,0.09300507,"(sqrt(sqrt((x0 - 0.9561975) + (x0 + -1.0163542)) + (((x0 + x0) * (x0 - sqrt(x0))) * 15.59084)) * (x0 + 0.89892936)) + 5.219834"
