Complexity,Loss,Equation
1,944.144,"64.368385"
3,884.58636,"x0 + 61.007378"
5,827.01416,"(x0 + x0) + 57.652214"
7,771.4274,"x0 + ((x0 + 54.28909) + x0)"
9,717.8263,"((x0 + x0) + x0) + (x0 + 50.929287)"
11,666.2106,"((((x0 + x0) + x0) + 47.56859) + x0) + x0"
13,616.58044,"(((x0 + x0) + (x0 - -44.21049)) + x0) + (x0 + x0)"
15,568.9357,"((x0 + x0) + ((x0 + x0) + (x0 + 40.84988))) + (x0 + x0)"
17,523.2765,"(x0 + x0) + ((x0 + x0) + ((x0 + x0) + (x0 + (x0 + 37.492077))))"
19,479.60278,"(x0 + ((((x0 + (x0 + x0)) + x0) + x0) + ((x0 + x0) + 34.13439))) + x0"
21,437.91446,"((x0 + (((x0 + x0) + x0) + (((x0 + x0) - -30.769083) + (x0 + x0)))) + x0) + x0"
23,398.21173,"x0 + (((x0 + (x0 + (((x0 + (x0 + (x0 + (x0 + x0)))) + x0) - -27.411585))) + x0) + x0)"
25,360.4944,"(x0 + ((x0 + x0) + ((x0 + x0) + ((((x0 + (x0 + x0)) + x0) + (x0 - -24.055117)) + x0)))) + x0"
27,324.7626,"(x0 + (x0 + x0)) + ((((x0 + (x0 + ((x0 + x0) + (x0 + x0)))) + ((x0 + x0) + x0)) - -20.691391) + x0)"
29,291.0163,"((((((x0 + x0) + (((x0 + x0) + x0) + x0)) + (((x0 + x0) + x0) + x0)) + x0) + x0) - -17.335386) + (x0 + x0)"
