Complexity,Loss,Equation
1,2.9631097,"1.2007259"
3,2.5889256,"x0 + 0.95265007"
5,2.4476655,"(x0 * x0) + 0.65472406"
6,2.4401245,"cos(x0) + (x0 * x0)"
7,2.4176786,"(x0 * x0) + cos(sin(x0))"
8,2.3461654,"x0 + (1.1949499 - sin(x0 * x0))"
9,2.240154,"((x0 * x0) * (x0 + -0.9932061)) + 1.0851877"
10,2.19303,"((x0 * x0) * (x0 - sin(x0))) + 0.9441907"
11,2.0335274,"(cos(sin(x0) * -29.062443) + 1.6094631) * (x0 * x0)"
12,1.9866092,"(x0 * (x0 * (sin(x0 * -26.955902) + 0.82245123))) - -0.7592443"
13,1.6755255,"(x0 * (x0 * (cos(sin(x0) * -35.682602) + 1.1314709))) + 0.7448928"
14,1.6145612,"(((sin(sin(x0) * -27.515844) + x0) * x0) * x0) + cos(x0)"
15,1.2944525,"0.86923516 - (((sin(sin(x0) * -30.969475) + -0.89065635) * x0) * (x0 * x0))"
16,1.0221577,"(x0 * x0) * ((x0 * sin(sin(sin(x0) * -14.756541) * 8.757037)) + 2.0549715)"
18,0.6333962,"((x0 * x0) * ((x0 * sin(sin(sin(x0) * -14.770175) * 8.734907)) + x0)) + 0.8759491"
19,0.61920166,"cos(x0) + ((x0 * (x0 * x0)) * (sin(sin(sin(x0) * -14.777074) * 8.712603) + 1.194749))"
20,0.24807167,"(((x0 * (sin(sin(sin(x0) * -14.831841) * 8.80538) + 0.80885965)) * x0) * (x0 * x0)) + 0.9091795"
21,0.18256588,"((x0 * ((x0 * x0) * (sin(sin(sin(sin(x0) * -14.821225) * 8.793149)) + 0.74440074))) * x0) - -0.9204305"
22,0.16486882,"(((sin(sin(sin(sin(sin(x0) * -14.81439) * 8.774761))) + 0.7010729) * (x0 * x0)) * (x0 * x0)) + 0.92321116"
24,0.07848931,"(((x0 - cos(x0)) * (x0 + (sin(sin(sin(sin(x0) * -14.793876) * 8.809111) * x0) * x0))) * x0) + 1.1087322"
25,0.060049072,"((((x0 - 0.77906024) * ((x0 * sin(sin(sin(sin(x0) * -14.803425) * 8.822957) * x0)) + x0)) * 2.1921575) * x0) + 1.1925986"
26,0.045612648,"(((x0 + (x0 * sin(sin(sin(sin(x0) * -14.806639) * 8.827532) * x0))) * ((x0 - cos(x0)) * 1.1334673)) * x0) + 1.0988202"
27,0.03206259,"((((((x0 * sin(sin(sin(sin(x0) * -14.805349) * 8.828119) * x0)) + x0) * (x0 - 0.68263376)) * x0) - -0.32972595) * x0) + 0.9028297"
29,0.026793022,"((((((x0 * sin(sin(sin(sin(x0) * -14.805235) * 8.831547) * x0)) + x0) * (x0 - 0.8970219)) * (x0 + 0.3930493)) - -0.32071277) * x0) + 0.97134215"
30,0.018775966,"(((((x0 - 0.6999533) * ((x0 * sin(x0 * sin(sin(sin(sin(x0) * -14.808796) * 8.773597) * x0))) + x0)) * x0) - -0.38608858) * x0) + 0.9096245"
