Complexity,Loss,Equation
1,2.9631097,"1.2007257"
3,2.5889256,"x0 + 0.9526195"
5,2.4476652,"(x0 * x0) + 0.65503705"
6,2.4401245,"(x0 * x0) + cos(x0)"
7,2.4176786,"cos(sin(x0)) + (x0 * x0)"
8,2.3050628,"(cos(x0 - -1.3539153) + x0) * 4.605389"
9,2.2401543,"(x0 * ((x0 + -0.99318993) * x0)) + 1.0851789"
10,2.1322896,"(x0 * (cos(x0 * 108.26223) + x0)) - -0.65543056"
11,2.013105,"(x0 * (cos(sin(x0) * 28.823568) + x0)) - -0.7987146"
12,1.829014,"((x0 * (cos(x0 * 108.20839) + 0.91698986)) * x0) - -0.74294704"
13,1.6755245,"((cos(sin(x0) * 35.68361) + 1.1317599) * (x0 * x0)) + 0.74458706"
14,1.6090939,"((x0 * (cos(sin(x0) * -29.19866) + x0)) * x0) + cos(x0)"
15,1.2944522,"(x0 * ((x0 * x0) * (sin(sin(x0) * 30.969604) + 0.89069366))) + 0.8692435"
16,1.031643,"(x0 * x0) * ((x0 * cos(cos(sin(x0) * 13.101156) * 10.277407)) + 2.1088204)"
17,0.8292114,"(((x0 * x0) * x0) * (cos(cos(x0 * 12.708642) * 16.995394) + 0.8860156)) + 0.86557263"
18,0.65904796,"(((x0 * x0) * x0) * (cos(cos(sin(x0) * 22.984373) * 4.113947) + 0.9667625)) + 0.9419154"
19,0.614273,"(x0 * ((x0 * (x0 * x0)) * (cos(cos(x0 * 12.700262) * 17.230383) + 0.6855892))) + 0.92736006"
20,0.29677182,"((x0 * x0) * ((cos(cos(sin(x0) * 23.075827) * 4.173691) + 0.7607704) * (x0 * x0))) + 0.9579889"
21,0.21703054,"((x0 * x0) * (((sin(cos(cos(sin(x0) * 23.062908) * 4.1616845)) + 0.70942307) * x0) * x0)) + 0.961736"
22,0.19330329,"(x0 * (x0 * ((x0 * x0) * (sin(sin(cos(cos(sin(x0) * 23.050552) * 4.159308))) + 0.66993344)))) + 0.9601104"
23,0.09294503,"((((x0 * x0) * x0) * (sin(cos(cos(sin(x0) * 19.694792) * 3.9639122) * x0) + 1.0426973)) * x0) - -0.9125101"
24,0.08472986,"((x0 * (((sin(sin(x0 * cos(cos(sin(x0) * 19.66658) * 3.9370134))) + 0.8850219) * x0) * x0)) * x0) + 0.93512475"
25,0.06896874,"((x0 * x0) * ((sin(cos(cos(sin(x0) * 19.589014) * 4.1996164) * 2.1791458) + 1.017027) * (x0 * (x0 + -0.55997825)))) + 0.9758877"
26,0.05287497,"(((x0 * x0) * (sin(sin(cos(cos(sin(x0) * 23.053913) * 4.1756153) * x0)) + 0.8641602)) * ((x0 * x0) + -0.8221713)) + 1.0611073"
28,0.04674381,"(((x0 * x0) + -0.60696787) * ((x0 * (x0 + -0.17328039)) * (sin(sin(cos(cos(sin(x0) * 23.05103) * 4.1782265) * x0)) + 0.8757337))) + 1.03402"
