Complexity,Loss,Equation
1,2.9631097,"1.2007152"
3,2.5889256,"x0 + 0.9526195"
5,2.4476652,"(x0 * x0) - -0.65503705"
6,2.4401245,"(x0 * x0) + cos(x0)"
7,2.4176786,"cos(sin(x0)) + (x0 * x0)"
8,2.3461657,"(x0 - sin(x0 * x0)) - -1.1945434"
9,2.2401543,"(((x0 + -0.9932439) * x0) * x0) + 1.0851953"
10,2.1004317,"((x0 - sin(x0 * 107.40877)) * x0) + 0.6915845"
12,1.8102756,"((x0 * x0) * (0.9358982 - sin(x0 * 110.54613))) - -0.7297795"
14,1.6129658,"(((x0 + -0.88855743) - sin(x0 * 110.55975)) * (x0 * x0)) - -1.0837541"
15,1.3174313,"((x0 * 4.110668) * x0) * (1.0225416 - sin(x0 - sin(x0 * 107.41661)))"
16,1.2155929,"(x0 * x0) * ((0.8834554 - sin(sin(x0 - sin(x0 * 107.41631)))) * 5.0611434)"
18,1.0098466,"((x0 * x0) * (x0 * ((0.83817416 - sin(x0 * 88.95231)) * (x0 + -1.1427444)))) - -0.95286703"
19,0.5879913,"(((x0 * x0) * (1.0116948 - sin(x0 - sin(x0 * -288.41043)))) * (x0 * x0)) - -0.8888542"
20,0.45375425,"(((x0 * x0) * (0.78421074 - sin(sin(x0 - sin(x0 * 107.41616))))) * (x0 * 3.386811)) - -0.9880551"
21,0.37499428,"((0.7070528 - sin(sin(sin(x0 - sin(x0 * 107.41628))))) * (x0 * ((x0 * x0) * 3.9574907))) - -0.996042"
22,0.2616409,"((0.7759538 - sin(sin(x0 - sin(x0 * 107.41594)))) * ((((x0 * x0) * x0) * x0) * x0)) - -0.9875318"
23,0.16291955,"((x0 * (x0 * (x0 * x0))) * (0.98327076 - sin((2.2134163 - sin(x0 * 92.15708)) * (x0 + -0.961531)))) - -0.86961895"
24,0.10367438,"((x0 * x0) * (x0 * ((0.8497964 - sin(sin((x0 + -0.8115966) * (x0 - sin(x0 * 7116.358))))) * x0))) - -0.86675566"
25,0.079833746,"((((x0 * x0) * x0) * (0.9811347 - sin(x0 * (1.7768899 - sin(sin(x0 - sin(x0 * 107.45025))))))) * 2.0367448) - -1.0727296"
26,0.0587505,"(((x0 * (x0 * x0)) * (1.040511 - sin((x0 * x0) * (1.2833768 - sin(x0 - sin(x0 * 107.38685)))))) * 1.3005435) - -0.90116215"
27,0.029620938,"((x0 * ((x0 * x0) * (1.018627 - sin((x0 * 2.2871327) * (1.0939534 - sin(sin(x0 - sin(x0 * 107.42279)))))))) * 1.3343428) - -1.0141832"
28,0.016364047,"((((x0 * x0) * (0.88367605 - sin(sin((x0 + x0) * (1.1503459 - sin(sin(x0 - sin(x0 * 107.41813)))))))) * x0) * 1.6349149) - -1.025328"
