Complexity,Loss,Equation
1,944.144,"64.368385"
3,138.13333,"x0 * 20.076109"
5,1.823568,"(x0 * 5.195365) * x0"
7,0.18582864,"((x0 * x0) + 0.57173234) * 5.008735"
9,0.17444427,"(x0 * ((x0 * 4.8951416) + 0.70747143)) - -1.8817111"
10,0.1686267,"sin(x0) + (((x0 * 4.9387064) + 1.1681416) * x0)"
11,0.14912605,"((x0 * 31.306902) + (sin(cos(x0)) * 14.885162)) + -33.37396"
13,0.13393919,"(sin(cos(x0 * 1.0653336)) * 12.910798) + ((x0 * 29.433748) + -29.321266)"
18,0.13293488,"((sin(cos(-0.08870836 - x0)) * 13.511553) + (-29.951189 - sin(x0 - 0.9924505))) + (x0 * 30.113363)"
19,0.13225923,"((x0 * 30.079506) + (sin(cos(x0 - -0.07431116)) * 13.876989)) + (-29.859667 - sin(sin(x0 - 0.58467317)))"
22,0.12990914,"(((x0 * 1.7645879) + (cos(cos(x0 + 0.10570631) * 0.333758) * (cos(x0) + -1.9611673))) * (22.852072 - x0)) - 1.6796552"
23,0.12958542,"(((x0 * 1.7562296) + (cos(sin(cos(x0 + 0.107183054) * 0.33812118)) * (cos(x0) + -2.0426707))) * (22.891712 - x0)) + 0.28136125"
24,0.12938075,"x0 + ((22.811571 - x0) * ((x0 * 1.7063109) + ((cos(x0) + -2.0235324) * cos(sin(sin(cos(x0 + 0.11036468) * 0.34904253))))))"
25,0.12503402,"(((x0 * 1.7176093) + (sin(cos(cos(x0 * 1.3855394) * 0.3703919) * cos(x0)) + -1.9988405)) * (23.214922 - x0)) + cos(sin(x0))"
27,0.117255755,"(((x0 * 1.716546) + (sin(cos(cos(x0 * -0.4386504) * cos(x0 + 0.25055787)) * cos(x0)) + -1.9181257)) * (22.943306 - x0)) - sin(x0)"
29,0.11625888,"((((x0 * 1.6890267) + (cos(cos(x0 * -0.4544364) * cos(x0 + 0.27442956)) * sin(cos(x0)))) + -1.888247) * (23.253954 - x0)) - sin(x0 * 1.1019821)"
30,0.11536711,"((23.483402 - x0) * (((x0 * 1.6769047) + (sin(cos(x0)) * cos(cos(x0 * -0.4580866) * cos(x0 + 0.3161978)))) + -1.8859682)) - sin(sin(x0 * 1.180677))"
