Complexity,Loss,Equation
1,2.9631097,"1.2007285"
3,2.5889256,"x0 + 0.9526501"
5,2.4476655,"(x0 * x0) + 0.65497977"
6,2.4401245,"(x0 * x0) + cos(x0)"
7,2.4176786,"(x0 * x0) + cos(sin(x0))"
8,2.3461657,"(x0 + 1.1945553) - sin(x0 * x0)"
9,2.2401543,"((x0 * x0) * (x0 + -0.9931835)) + 1.0851752"
10,2.1376774,"(x0 * (x0 + sin(x0 * 87.357124))) + 0.673195"
11,2.0312788,"(x0 * x0) * (sin(sin(x0) * 226.1191) + 1.4477468)"
12,1.830627,"(((cos(x0 * 108.230415) + 0.93360335) * x0) * x0) + 0.74228984"
13,1.6682103,"((x0 * x0) * (sin(sin(x0) * 226.12784) + 1.092606)) + 0.70773715"
14,1.6351169,"((cos(x0 * 86.5561) + (x0 + -0.904951)) * (x0 * x0)) + 1.0530975"
15,1.294563,"((x0 * (cos(sin(x0) * -29.298527) + 0.9218101)) * (x0 * x0)) + 0.8910942"
16,1.2871186,"((x0 * (sin(sin(x0) * -27.661135) + 1.1609945)) * (x0 * x0)) + cos(x0)"
17,0.99362254,"(x0 * (x0 * ((sin(sin(x0 * 28.58849) * 8.22186) + 1.0221376) * x0))) + 0.80789757"
18,0.70702434,"(x0 * (x0 * (x0 + (cos(sin(sin(x0) * -24.680687) * 4.242467) * x0)))) + 0.8433658"
19,0.5409991,"(x0 * (x0 * ((cos(sin(sin(sin(x0) * -24.666344)) * 4.8607726) * x0) + x0))) + 0.8975818"
20,0.4469535,"((x0 + ((cos(sin(sin(x0) * -24.70863) * 4.429413) * x0) * x0)) * (x0 * x0)) + 0.99120986"
21,0.39982337,"((x0 + ((cos(sin(sin(sin(x0) * -24.675827)) * 4.9700155) * x0) * 1.3217932)) * (x0 * x0)) + 1.0176088"
22,0.2942561,"((x0 + (cos(sin(sin(x0) * -24.696894) * 4.3867106) * ((x0 * x0) - 0.6430654))) * (x0 * x0)) + 0.84883195"
23,0.18183006,"(x0 * (x0 * (x0 + (cos(sin(sin(sin(x0) * -24.66389)) * 5.0539565) * ((x0 * x0) + -0.79809976))))) + 0.87057054"
25,0.17080253,"((x0 * ((x0 + ((cos(sin(sin(sin(x0) * -24.681671)) * 4.996675) * (x0 + -0.49954164)) * x0)) * x0)) * 1.1152837) + 0.90931314"
26,0.16587348,"((x0 * ((sin(x0 * 3.016689) + (x0 + -0.6019492)) * (sin(sin(x0 * 28.597994) * 8.203495) + 1.0754868))) * (x0 * x0)) + 0.90592116"
27,0.09170673,"((x0 * x0) * (((cos(sin(sin(x0 * 4.333731) * 5.6444683) * -3.9366944) * x0) + x0) * (sin(x0 * 3.3224) + 0.9999799))) + 0.9521704"
28,0.0750627,"(((x0 * sin(sin(sin(sin(x0 * 6.224153) * 2.8181973)) * 2.715988)) + 1.7212362) * ((x0 * x0) * (1.0231516 + sin(x0 * 3.6275315)))) + 0.7652465"
29,0.057683874,"((x0 * x0) * (((sin(sin(sin(sin(sin(x0 * 6.2317357) * 2.8561294)) * 2.800826)) * x0) + 1.5029608) * (sin(x0 * 3.6408281) + 1.0558982))) + 0.7784457"
30,0.044439122,"((sin(x0 * 3.5665252) + 1.0647036) * ((x0 * x0) * ((x0 * sin(x0 * sin(x0 * sin(sin(x0 * 6.211194) * x0)))) + x0))) + 0.9068735"
