Complexity,Loss,Equation
1,944.144,"64.368385"
3,138.13333,"x0 * 20.07615"
5,1.8235677,"x0 * (x0 * 5.1953936)"
7,0.18582869,"(x0 * (x0 * 5.008731)) - -2.8637028"
9,0.17444427,"(x0 * ((x0 * 4.8952136) + 0.70702124)) + 1.8823452"
10,0.16862671,"(((x0 * 4.9387145) + 1.168109) * x0) + sin(x0)"
11,0.14912602,"((x0 * 31.306902) + -33.37411) + (sin(cos(x0)) * 14.884868)"
13,0.13663232,"(((x0 * 2.074637) + -2.0655515) + sin(cos(x0 + 0.123448275))) * 14.522952"
15,0.13271989,"((sin(sin(x0 + 1.7488046) + 0.09442225) + (x0 * 2.1326485)) + -2.1454685) * 13.870977"
18,0.11975004,"(((sin(cos(cos(cos(x0))) + cos(x0)) + (x0 * 1.6809264)) + -2.2620914) * 19.285704) - x0"
19,0.119438514,"((sin(cos(x0) + cos(cos(cos(x0)))) + (x0 * 1.560966)) + -2.2254739) * (22.412216 - sqrt(x0))"
22,0.114179984,"((sin((cos(x0 + 0.18680534) + cos(cos(cos(x0 + 0.169927)))) * 1.3864493) + (x0 * 2.0702446)) + -2.6438668) * 14.221921"
24,0.11416956,"((sin((cos(x0 + 0.18841538) + cos(cos(cos(x0 + 0.17184018)))) * 1.3900528) + ((x0 * 2.0032864) + -2.6465764)) * 14.190533) + x0"
25,0.11412208,"((sin((cos(x0 + 0.18957815) + cos(cos(cos(x0 + -2.968564)))) * 1.3803576) + ((x0 * 2.0280344) + -2.671035)) * 14.35792) + sqrt(x0)"
27,0.11038066,"(((sin((cos(cos(cos(x0 + 0.17000054))) + cos(x0 + 0.19307552)) * 1.3833565) + (x0 * 2.0044932)) + -2.6012318) * 14.455346) + sqrt(x0 - 0.98933005)"
