Complexity,Loss,Equation
1,2.9631097,"1.2007254"
3,2.5889256,"x0 - -0.95261955"
5,2.4476655,"(x0 * x0) + 0.6549758"
6,2.4401245,"cos(x0) + (x0 * x0)"
7,2.4176786,"cos(sin(x0)) + (x0 * x0)"
8,2.3050628,"(x0 - sin(x0 - 0.21692277)) * 4.6051607"
9,2.2401543,"((x0 + -0.9931715) * (x0 * x0)) - -1.0851711"
10,2.1323328,"((cos(x0 * 108.26459) + x0) * x0) + 0.6421481"
12,1.8302226,"((x0 * (cos(x0 * 108.227036) + 0.93948835)) * x0) + 0.7313944"
13,1.6755267,"(x0 * (x0 * (cos(sin(x0) * -35.68214) + 1.1314603))) - -0.7440222"
14,1.6350377,"(((x0 + -0.9075251) + cos(x0 * 86.56097)) * (x0 * x0)) - -1.0577384"
15,1.2945625,"(((cos(sin(x0) * -29.298689) + 0.92213535) * x0) * (x0 * x0)) - -0.8906466"
17,0.87429243,"((cos(cos(x0 * -20.49271) * -10.142528) + 0.9290592) * ((x0 * x0) * x0)) + 0.9168671"
18,0.6590342,"((x0 * (x0 * x0)) * (cos(cos(sin(x0) * -22.985216) * -4.114745) + 0.967243)) - -0.94528455"
20,0.3649475,"((cos(cos(cos(x0 * -2.6211185) * 19.243526) * -3.980523) + 1.0517129) * (x0 * (x0 * x0))) - -0.9033351"
22,0.27348348,"((((cos(cos(cos(x0 * -2.6232004) * 19.515757) * -3.9711986) + 0.95506805) * (x0 * x0)) * x0) * x0) - -0.9239963"
24,0.10976684,"(x0 * (x0 * ((cos(cos(cos(x0 * -2.621698) * 19.366278) * -3.9543405) + 0.9714936) * ((x0 * x0) - 1.1071727)))) - -1.0759513"
26,0.071718246,"(x0 * (((x0 * ((x0 * x0) - 1.1810642)) * (cos(cos(cos(x0 * -2.621661) * 19.328495) * -3.963915) + 0.8780576)) - -0.37822223)) + 1.0315305"
28,0.024411581,"(x0 * ((((x0 - 1.3212352) * ((x0 * x0) * x0)) * (cos(cos(cos(x0 * -2.6219006) * 19.29409) * -3.9315753) + 0.8732204)) - -0.48519138)) + 0.9906502"
30,0.024411578,"((x0 * ((((x0 - 1.3212352) * (x0 * (x0 * x0))) * (cos(cos(cos(x0 * -2.6219006) * 19.29409) * -3.9315753) + 0.8732204)) - -0.48519138)) + 0.48072234) - -0.5099278"
