Complexity,Loss,Equation
1,944.144,"64.368385"
3,138.13333,"x0 * 20.07615"
5,1.8235677,"x0 * (x0 * 5.1953616)"
7,0.18582857,"((x0 * x0) + 0.5717419) * 5.008731"
9,0.17444418,"((x0 + 0.1444305) * (x0 * 4.895215)) + 1.8823174"
10,0.16488095,"((sqrt(x0) * (x0 - -5.28079)) * x0) * 1.11708"
11,0.16110437,"cos(cos(x0)) + (x0 * (1.557996 - (x0 * -4.751092)))"
12,0.15772402,"(2.14338 + ((x0 * x0) * 4.9461236)) + sqrt(x0 + -0.9926542)"
13,0.14853957,"sqrt(sqrt(x0 + -0.99267673)) + ((x0 * (x0 * 4.9776354)) + 2.0508785)"
16,0.08969736,"(((x0 + 0.73403424) * sqrt((x0 * x0) + -0.98537487)) - (x0 + -1.7226331)) * 5.1642227"
18,0.08728648,"((sqrt(((x0 * 1.1157831) * x0) + -1.098169) * (x0 + 0.6752531)) - (x0 + -1.8265713)) * 4.8908496"
23,0.08124423,"((((x0 + 0.76171046) * sqrt((x0 * x0) + -0.9846532)) - (x0 + -1.7989362)) * 5.1075864) + (cos(x0 + 0.64799017) * 0.29827484)"
25,0.07901794,"(5.1642227 * (((x0 + 0.73403424) * sqrt((x0 * x0) + -0.98537487)) - (x0 + -1.7226331))) + (0.31679356 * (cos(x0) + cos(sin(x0))))"
26,0.07400553,"(cos(x0) * (cos(x0) + cos(sin(x0)))) + (5.1642227 * (((x0 + 0.73403424) * sqrt((x0 * x0) + -0.98537487)) - (x0 + -1.7226331)))"
27,0.0738615,"sin(cos(x0) * (cos(x0) + cos(sin(x0)))) + ((((x0 + 0.73403424) * sqrt((x0 * x0) + -0.98537487)) - (x0 + -1.7226331)) * 5.1642227)"
28,0.071183845,"(cos(x0) * (cos(x0) + cos(0.13340333 - sin(x0)))) + (5.1642227 * (((x0 + 0.73403424) * sqrt((x0 * x0) + -0.98537487)) - (x0 + -1.7226331)))"
29,0.070965394,"sin(cos(x0) * (cos(x0) + cos(0.13340333 - sin(x0)))) + ((((x0 + 0.73403424) * sqrt((x0 * x0) + -0.98537487)) - (x0 + -1.7226331)) * 5.1642227)"
30,0.06808505,"sin(cos(cos(x0) - x0) * (cos(x0) + cos(sin(x0)))) + ((((x0 + 0.73403424) * sqrt((x0 * x0) + -0.98537487)) - (x0 + -1.7226331)) * 5.1642227)"
