Complexity,Loss,Equation
1,944.144,"64.368385"
3,138.13333,"x0 * 20.076204"
5,1.8235677,"(x0 * 5.1953616) * x0"
7,0.18582857,"((x0 * x0) - -0.5717419) * 5.008731"
9,0.17444412,"((x0 * (x0 - -0.14443286)) * 4.89521) - -1.8823675"
10,0.16862665,"(((x0 - -0.23652108) * x0) * 4.9387145) + sin(x0)"
11,0.1611044,"(x0 * ((x0 * 4.751087) - -1.5580169)) + cos(cos(x0))"
13,0.1600629,"cos(cos(x0) * 1.1425982) + (((x0 * 4.736913) - -1.6280031) * x0)"
14,0.15262412,"(((x0 - -2.56355) * x0) + (sin(x0 + -10.971664) - 2.1519709)) * 3.5388265"
16,0.15262406,"(sin((x0 + 0.073302) - 11.044967) + (((x0 - -2.56355) * x0) - 2.1519709)) * 3.5388265"
17,0.14937578,"(((x0 * (x0 - -0.56603056)) - 0.26266432) * 4.665188) + sin(x0 - cos(x0 + 0.38010222))"
18,0.134128,"sin((x0 - 1.8787745) * (x0 - 4.069661)) + ((((x0 - -1.1343156) * x0) * 4.1937876) - 3.0200152)"
20,0.13045178,"(((x0 * ((x0 - -1.929261) * 2.3928766)) - 3.7768278) + sin((x0 - 1.8058162) * (x0 - 4.0448794))) * 1.5688927"
24,0.13042185,"((((x0 - -1.9998337) * (x0 * 2.3055336)) + (sin(((x0 - 3.462874) * (x0 - 2.383626)) - 0.96781254) - 3.2266915)) + -0.5869387) * 1.613359"
26,0.1292396,"((((x0 * 2.3363752) * (x0 - -1.6324105)) + sin(((x0 - 3.7429628) * (x0 - 2.1474779)) - 0.64063144)) - 3.3072295) * ((x0 * -0.018848129) + 1.7626989)"
28,0.12823625,"(((x0 * -0.022015152) + 1.8053836) * ((x0 * ((x0 - -1.5012103) * 2.3449762)) + (sin(((x0 - 1.8553004) * (x0 - 4.0978045)) * 0.91675013) - 3.376832))) - -0.47700003"
30,0.12802671,"(((x0 - -1.5928315) * (x0 * 2.247891)) + (sin((((x0 - 2.426601) * (x0 - 3.5229068)) - 0.95627636) * 0.90486485) - 3.194481)) * (((x0 * -0.021129001) - -0.296565) + 1.5565407)"
