Complexity,Loss,Equation
1,944.144,"64.368385"
3,138.13333,"x0 * 20.07606"
5,1.8235677,"(x0 * 5.1953616) * x0"
7,0.18582867,"((x0 * x0) * 5.008732) + 2.863681"
9,0.17444417,"((x0 * (x0 - -0.14447051)) * 4.8951836) + 1.8820797"
10,0.17443112,"(sqrt(x0) + 1.6305224) - (x0 * (x0 * -4.9618526))"
11,0.163848,"(((3.985136 - (x0 * -0.10529596)) * x0) + 3.111602) * x0"
12,0.1579981,"sqrt(x0 - 0.99251676) + (2.1482594 - (x0 * (x0 * -4.9463124)))"
13,0.1483289,"sqrt(sqrt(x0 - 0.99266434)) - (((x0 * x0) * -4.9798946) + -2.0177162)"
16,0.09337456,"(sqrt(sin(sqrt(x0 + -0.99130905))) + ((x0 * -0.8676468) * (0.32998294 - x0))) * 6.0435953"
19,0.09311094,"(((x0 * (0.18794094 - x0)) * -0.578281) + (sqrt(sqrt(sin(sqrt(x0 + -0.99026704)))) + -0.43286872)) * 8.849488"
20,0.066475384,"(sqrt(sin(sqrt(sqrt((sin(x0) * -1.1853185) + x0)))) + ((x0 * -0.8686916) * (0.3317307 - x0))) * 6.035102"
