Complexity,Loss,Equation
1,944.144,"64.368385"
3,138.13333,"x0 * 20.07606"
5,1.8235683,"x0 * (x0 * 5.1953707)"
7,0.18582869,"(x0 * (x0 * 5.0087447)) + 2.863483"
9,0.17444423,"(x0 * ((x0 * 4.895216) + 0.7070131)) + 1.8823413"
10,0.16488096,"x0 * (((x0 + 5.280786) * sqrt(x0)) * 1.1170803)"
11,0.16384797,"((x0 * ((x0 * 0.10533193) + 3.9848833)) + 3.11202) * x0"
12,0.15764283,"(((x0 * 4.946017) * x0) + sqrt(x0 - 0.9927234)) + 2.1608648"
13,0.15405259,"(sqrt(sqrt(x0 - 0.9913936)) + (x0 * (x0 * 4.977015))) + 2.06273"
14,0.11562208,"((sqrt(sqrt(sqrt(x0 - 0.9914467))) + (x0 * x0)) * 4.9412503) + -1.701381"
15,0.10702099,"(((sqrt(sqrt(x0 - 0.99263334)) + (x0 * x0)) * 5.034331) - x0) - 0.17578565"
16,0.09038764,"(((sqrt(sqrt(sqrt(x0 - 0.9923189))) + (x0 * x0)) * 5.09063) - x0) + -0.34269747"
18,0.07273175,"(((x0 * -0.22858258) + (sqrt(sqrt(sqrt(x0 - 0.992682))) + (x0 * x0))) * 5.127137) + -0.22858258"
20,0.07217022,"(((x0 * -0.22858258) + (sqrt(sqrt(sqrt(x0 - 0.992682))) + ((x0 * x0) + -0.16457894))) * 5.127137) - -0.59082806"
21,0.072170205,"(((((x0 * -0.22858258) + sqrt(sqrt(sqrt(x0 - 0.992682)))) + (x0 * x0)) + -0.16457894) * 5.127137) - sin(-0.63208485)"
