Complexity,Loss,Equation
1,944.144,"64.368385"
3,138.13333,"x0 * 20.076204"
5,1.8235677,"x0 * (x0 * 5.1953616)"
7,0.18582869,"((x0 * x0) * 5.008733) + 2.8636656"
9,0.17444429,"((x0 * (x0 + 0.14448771)) * 4.895175) - -1.8820803"
10,0.16862668,"((x0 * (x0 - -0.23651873)) * 4.9387174) + sin(x0)"
11,0.16110441,"cos(cos(x0)) + ((x0 * 4.75106) * (x0 - -0.3279532))"
13,0.1600629,"cos(cos(x0) * 1.1428028) + (x0 * ((x0 - -0.3437196) * 4.736879))"
14,0.13990316,"((x0 * (x0 + 7.7626443)) * sqrt(x0 - 0.99131155)) - (x0 + -5.393099)"
16,0.107985735,"(((x0 * sqrt(x0 + -0.9921794)) * (x0 + 6.902787)) - (x0 - 5.6389923)) * 1.0726359"
18,0.106257915,"(((((x0 + 6.902787) * x0) * sqrt(x0 + -0.9921794)) - (x0 - 5.6389923)) * 1.0726359) + 0.041886423"
20,0.1062575,"(((((x0 + 6.902787) * x0) * sqrt((x0 + 0.12519225) - 1.1173717)) - (x0 - 5.6389923)) * 1.0726359) + 0.041886423"
24,0.08952356,"(((((sqrt((x0 - 0.9913437) * (x0 + 14.567769)) * x0) - (x0 - 4.4526057)) * 4.0196323) + (x0 * -8.632051)) - x0) - 0.40747353"
28,0.08945171,"(((((sqrt((x0 - 0.9913437) * (x0 + 14.567769)) * x0) - (x0 - 4.4526057)) * 4.0196323) + (x0 * -8.632051)) - x0) - (0.40747353 - (0.04388528 * -0.4100304))"
