Complexity,Loss,Equation
1,944.144,"64.368385"
3,884.5863,"x0 + 61.01521"
5,827.01416,"x0 + (x0 + 57.64401)"
7,771.4274,"x0 + ((x0 + 54.289085) + x0)"
9,717.8263,"((x0 + x0) + x0) + (x0 - -50.93516)"
11,666.2106,"((x0 + (x0 + x0)) + (x0 + x0)) - -47.563843"
13,616.58044,"(((x0 + (x0 + x0)) + (x0 + x0)) + x0) - -44.209156"
15,568.9357,"(x0 + (x0 + x0)) + (((x0 + x0) + x0) + (x0 - -40.85541))"
17,523.2765,"((x0 + x0) + x0) + ((x0 + x0) + ((x0 + x0) + (x0 + 37.492077)))"
19,479.60278,"((x0 + (x0 + x0)) + ((x0 + (x0 + ((x0 + x0) + x0))) + 34.136963)) + x0"
21,437.91446,"((((x0 + x0) + x0) + ((x0 + x0) + ((x0 + x0) + x0))) + x0) + (x0 + 30.769089)"
23,398.2117,"(x0 + ((x0 + x0) + ((x0 + (x0 + x0)) + ((((x0 + x0) + x0) + x0) + x0)))) + 27.407234"
25,360.4944,"(x0 + ((((x0 + x0) + x0) + x0) + x0)) + (((x0 + x0) + x0) + (x0 + ((x0 + 24.051516) + x0)))"
27,324.7626,"(((((x0 + x0) + x0) + x0) + ((x0 + x0) + x0)) + (x0 + ((x0 + x0) + 20.694246))) + ((x0 + x0) + x0)"
29,291.0163,"((((x0 + (x0 + x0)) + x0) + x0) + x0) + ((x0 + x0) + (((x0 + x0) + (x0 + 17.335377)) + ((x0 + x0) + x0)))"
