Complexity,Loss,Equation
1,944.144,"64.368385"
3,138.13333,"x0 * 20.07615"
5,1.8235677,"x0 * (x0 * 5.1953936)"
7,0.1858287,"(x0 * (x0 * 5.0087314)) - -2.8636892"
9,0.17444429,"(x0 * ((x0 * 4.895155) - -0.7073907)) + 1.8818176"
10,0.16488102,"(sqrt(x0) * (x0 * 1.1170641)) * (x0 + 5.280911)"
11,0.16384797,"x0 * ((x0 * ((x0 * 0.105342075) - -3.9848137)) + 3.1121438)"
12,0.15877494,"sqrt(x0 - 0.9919667) + (((x0 * x0) * 4.945757) - -2.1601782)"
13,0.15108041,"((x0 * (x0 * 4.9767833)) - -2.0683804) + sqrt(sqrt(x0 - 0.99245524))"
15,0.13303794,"((-0.045943316 - (x0 * -4.9112225)) * x0) + (sqrt(sqrt(x0 + -0.99262893)) * 3.5173023)"
17,0.099487975,"(((x0 * 0.07689213) - -4.5039983) * (x0 * x0)) + (sqrt(sqrt(x0 + -0.9922128)) * 4.490467)"
