Complexity,Loss,Equation
1,2.9631097,"1.2007229"
3,2.5889256,"x0 + 0.95265"
5,2.4476655,"(x0 * x0) + 0.6547241"
7,2.4238756,"((x0 * x0) * 0.8264191) + 0.7495407"
9,2.240154,"(((x0 + -0.9932017) * x0) * x0) + 1.0851891"
11,2.1724572,"((x0 * (x0 * x0)) * (x0 + -1.3225206)) + 0.982114"
13,2.0226872,"((x0 * x0) * ((x0 * x0) * (x0 + -1.5974455))) + 1.1418511"
15,1.8974837,"(((((x0 * x0) * x0) * x0) + 0.7404454) * (x0 + -1.7215627)) + 2.368261"
17,1.6966903,"(((x0 * (x0 * x0)) * ((x0 * x0) + -2.7981777)) * (x0 + -1.272091)) + 1.0452002"
19,1.538575,"((((x0 * (x0 + -2.1813111)) * x0) * x0) + 2.4849052) * (((x0 * x0) * x0) + 0.37165016)"
21,1.3825399,"(((x0 * x0) * (((x0 * x0) + -2.3803883) * (x0 * x0))) * (x0 * (x0 + -1.8349313))) + 0.8773745"
23,1.2604955,"((x0 * x0) * ((x0 * ((x0 + -1.5905194) * x0)) * (x0 * ((x0 + -1.8405261) * (x0 * x0))))) + 0.9495319"
25,1.1516296,"((x0 * (x0 * x0)) * ((x0 * x0) * ((((x0 + -1.8973545) * x0) * (x0 + -1.6667616)) * (x0 * x0)))) + 0.88600785"
27,1.0922099,"((((x0 * x0) - 3.5969868) * (((x0 * x0) * (x0 * (x0 + -1.6743563))) * x0)) * (((x0 + -0.9924948) * x0) * x0)) + 1.0175983"
29,1.0007874,"(((((x0 * x0) - 1.2475573) * (x0 * x0)) * ((x0 * x0) * (x0 + -1.9155052))) * (((x0 + -1.7202214) * (x0 * x0)) * x0)) + 0.996405"
