Complexity,Loss,Equation
1,944.144,"64.368385"
3,884.58636,"x0 + 61.005726"
5,827.0142,"(x0 + x0) + 57.64887"
7,771.4274,"x0 + (x0 + (x0 + 54.289097))"
9,717.8263,"x0 + ((x0 + x0) + (x0 + 50.92927))"
11,666.2106,"((x0 + x0) + (x0 + x0)) + (x0 - -47.568596)"
13,616.58044,"(x0 + x0) + (((x0 + x0) + (x0 + 44.21049)) + x0)"
15,568.9357,"(x0 + x0) + (((x0 + 40.84988) + (x0 + x0)) + (x0 + x0))"
17,523.2765,"((x0 + (x0 + x0)) + ((x0 + x0) + (x0 + 37.492077))) + (x0 + x0)"
19,479.60278,"((((x0 + x0) + ((x0 + x0) + x0)) + (x0 + x0)) + (x0 + 34.136963)) + x0"
21,437.91446,"(((x0 + (x0 + x0)) + x0) + (((x0 + x0) + ((x0 + x0) + x0)) + x0)) - -30.772657"
23,398.21167,"x0 + (x0 + (((x0 + x0) + 27.40984) + (((x0 + x0) + x0) + (x0 + ((x0 + x0) + x0)))))"
25,360.4944,"(x0 + 24.055119) + ((((x0 + (((x0 + x0) + x0) + x0)) + (((x0 + x0) + x0) + x0)) + x0) + x0)"
27,324.7626,"((((x0 + x0) + (((x0 + x0) + 20.691393) + x0)) + x0) + (((x0 + x0) + x0) + x0)) + ((x0 + x0) + x0)"
29,291.0163,"((((((((x0 + x0) + (x0 + x0)) + (x0 + (x0 + x0))) + x0) + x0) + x0) + (x0 + x0)) + x0) + (x0 - -17.335377)"
