Complexity,Loss,Equation
1,2.9631097,"1.2007259"
3,2.5889256,"x0 + 0.95265007"
5,2.5758686,"cos(sin(x0)) + x0"
6,2.571929,"sqrt(cos(sin(x0))) + x0"
7,2.5229537,"x0 + cos(cos(x0 - 1.0482599))"
8,2.4656298,"x0 + (sin(-0.85440964 - x0) + 1.6319771)"
11,2.407469,"x0 + (sin(cos(x0) - (x0 + 1.297096)) + 1.2810862)"
12,2.3696558,"((sin(0.80378604 - (x0 + x0)) + x0) + x0) + 0.39463186"
15,2.3507738,"(x0 + (cos(x0 + x0) - sin(x0 + x0))) + (x0 + 0.27327067)"
16,2.3185663,"((sin(cos(x0 + x0) - -0.533821) - sin(x0 + x0)) + x0) + x0"
17,2.317949,"(sin(cos(x0 + x0) - -0.49615955) - sin(sin(x0 + x0))) + (x0 + x0)"
18,2.2197492,"(cos(x0 + (x0 - sin(x0 + x0))) - sin(x0 + x0)) + (x0 + x0)"
20,2.2155774,"((cos(x0 + (x0 - sin(x0 + x0))) - sin(x0 + x0)) + (x0 + x0)) - 0.064425685"
22,2.2117167,"(x0 + (x0 - 0.10724958)) + (cos((x0 + x0) - sin(x0 + x0)) - sin(x0 - (0.10438474 - x0)))"
24,2.209223,"(x0 + sin((x0 + x0) - 3.2769206)) + (x0 + sin((cos((x0 + x0) + 1.3198528) - (-1.8676424 - x0)) + x0))"
25,2.1973321,"x0 + (sin(cos(x0 + (x0 - -1.2064446))) + (x0 + sin((cos(x0 + (x0 + 1.2253317)) - (-2.022047 - x0)) + x0)))"
26,2.1972976,"((x0 + cos((x0 + x0) - -0.3377132)) + (x0 + sin((cos((x0 + x0) + 0.6246542) - (-2.9028273 - x0)) + x0))) + 0.66277325"
27,2.1883593,"(x0 + (sin((cos(x0 + (x0 + 0.8947486)) - (-2.5331304 - x0)) + x0) + 0.40924037)) + (x0 + sin(cos(x0 + (x0 - -0.74442625))))"
29,2.177827,"(x0 + (cos(((x0 + x0) - -1.8981733) - sin(x0 + -5.5988464)) + x0)) + sin((cos(x0 + (x0 + 1.1605502)) - (-1.9481213 - x0)) + x0)"
