Complexity,Loss,Equation
1,944.144,"64.368385"
3,884.58636,"x0 - -61.005726"
5,827.0142,"(x0 + x0) - -57.6489"
7,771.4274,"(x0 + (x0 + 54.28908)) + x0"
9,717.8263,"x0 + (x0 + ((x0 + 50.927322) + x0))"
11,666.2106,"(x0 + ((x0 + (x0 + x0)) + x0)) + 47.567116"
13,616.58044,"((x0 + x0) + (x0 + (x0 + x0))) + (x0 + 44.209156)"
15,568.93585,"(((x0 + ((x0 + x0) + (x0 + x0))) + 40.850967) + x0) + x0"
17,523.2765,"(x0 + (x0 + 37.492382)) + ((x0 + (((x0 + x0) + x0) + x0)) + x0)"
19,479.60278,"x0 + ((x0 + x0) + ((x0 + (x0 + x0)) + ((x0 + (x0 + x0)) + 34.1344)))"
21,437.91446,"(x0 + (x0 + (x0 + ((x0 + x0) + ((x0 + x0) + ((x0 - -30.772364) + x0)))))) + x0"
23,398.2117,"((((x0 + x0) + (x0 + (x0 + x0))) + (x0 + x0)) + 27.40749) + ((x0 + (x0 + x0)) + x0)"
25,360.4944,"(x0 + x0) + ((x0 + (x0 + (((x0 + (((x0 + (x0 + x0)) + x0) + x0)) - -24.055094) + x0))) + x0)"
27,324.7626,"(((((x0 + x0) + ((x0 + x0) + x0)) + x0) + x0) + ((((x0 + x0) + x0) + (x0 + x0)) + x0)) + 20.694265"
29,291.01633,"(((((x0 + x0) + x0) + x0) + ((x0 + x0) + ((x0 + x0) + (((x0 + x0) + x0) + (x0 + x0))))) + x0) + 17.335545"
