Complexity,Loss,Equation
1,2.9631097,"1.2007234"
3,2.5889256,"x0 + 0.95261955"
5,2.4476655,"(x0 * x0) + 0.6547242"
7,2.4238753,"((x0 * x0) + 0.9072072) * 0.82628614"
9,2.2401543,"((x0 - 0.9932084) * (x0 * x0)) + 1.0851907"
11,2.1724572,"((x0 - 1.3225191) * (x0 * (x0 * x0))) + 0.982112"
13,2.0226872,"(((x0 * (x0 * x0)) * (x0 - 1.5974157)) * x0) + 1.1419473"
15,1.8974838,"(((((x0 + -1.7215158) * x0) * (x0 * x0)) + 0.7403554) * x0) + 1.093511"
17,1.6966904,"((((x0 * x0) + -2.7973597) * (x0 * (x0 * (x0 + -1.2724931)))) * x0) + 1.0451181"
19,1.5522069,"(((x0 * x0) + -3.024781) * (x0 * ((x0 * (x0 + -1.4896631)) * (x0 * x0)))) + 0.7859607"
21,1.3825399,"((x0 * x0) * ((x0 - 1.8349255) * ((x0 * (x0 * ((x0 * x0) - 2.3803988))) * x0))) + 0.87724257"
23,1.2604955,"(((x0 * (x0 * x0)) * ((x0 - 1.5903864) * (((x0 * x0) * x0) * x0))) * (x0 - 1.8405718)) + 0.9496754"
25,1.1516296,"(((x0 * x0) * ((x0 - 1.8973601) * ((x0 * x0) * (x0 * ((x0 * x0) * (x0 - 1.6667832)))))) * x0) + 0.8860212"
27,1.1154827,"((((x0 * x0) * (x0 - 1.8848704)) * ((x0 * x0) * (x0 * (((x0 * x0) + -0.59681726) * (x0 - 1.6610473))))) * x0) + 0.96691334"
29,1.0087985,"(x0 * (((((x0 * ((x0 - 1.9063448) * (x0 - 0.8173198))) * ((x0 * x0) * x0)) * (x0 * x0)) * (x0 - 1.7034312)) * x0)) + 0.97076744"
