Complexity,Loss,Equation
1,2.9631097,"1.2007229"
3,2.5889256,"x0 + 0.95265007"
5,2.4476655,"(x0 * x0) + 0.65472406"
6,2.4401245,"cos(x0) + (x0 * x0)"
7,2.4176786,"cos(sin(x0)) + (x0 * x0)"
8,2.3461657,"x0 - (sin(x0 * x0) - 1.1945626)"
9,2.240154,"(x0 * ((x0 - 0.9932118) * x0)) + 1.0852039"
10,2.19303,"((x0 * (x0 - sin(x0))) * x0) - -0.94401866"
11,2.1724575,"(((x0 * x0) * x0) * (x0 - 1.3225217)) + 0.98211485"
12,1.9989147,"0.7708799 - (((sin(x0 * -3.2971077) + -1.085269) * x0) * x0)"
13,1.9953785,"(x0 * (x0 * (sin(sin(x0 * 3.2938588)) + 1.0552664))) + 0.7656897"
14,1.7870735,"0.8300825 - ((sin(x0 * -3.078102) + -0.9691747) * (x0 * (x0 * x0)))"
15,1.7008682,"((x0 - sin(x0)) * ((x0 - (x0 * sin(x0))) * 39.24351)) - -0.7070098"
16,1.6026566,"((sin(x0 * 2.907814) + 0.9321658) * (x0 * ((x0 * x0) * x0))) + 0.8433281"
17,1.4139318,"((x0 * (x0 * x0)) * (sin(sin(x0 * 1.1058614) * 11.794002) + 1.068305)) + 0.8960555"
18,1.2547421,"(((x0 * x0) * x0) * (sin(sin(sin(x0 * 2.7986555)) * 10.558896) + 0.90231425)) + 0.82053715"
19,1.1950103,"((((sin((x0 * x0) * sin(x0 * 3.1419432)) + 0.9868676) * x0) * x0) * x0) + 0.8815832"
20,0.9665445,"((x0 * (x0 * x0)) * (sin(sin(sin(x0 * 3.1330824) * 2.9486187) * 2.671486) + 0.95277566)) + 0.8320041"
21,0.7391607,"(x0 * x0) * ((x0 * sin(sin(sin(sin(x0 * 3.1238103) * 2.9985838) * 2.8265903) * 2.4893076)) + 2.1131628)"
22,0.7162133,"((((x0 * x0) * x0) * (sin(sin(sin(x0 * 3.0874588) * 2.6695619) * x0) + 0.98744506)) * x0) + 0.84046555"
23,0.36775035,"((x0 * (x0 * x0)) * (sin(sin(sin(sin(x0 * 3.1217616) * 3.0303366) * 2.8361297) * 2.51385) + 1.0498133)) + 0.81225353"
25,0.09674395,"((sin(sin(sin(sin(x0 * 3.1024709) * 2.8843572) * 2.5315564) * x0) + 1.0121163) * (((x0 * x0) * x0) * x0)) + 0.8506557"
27,0.059194446,"(((sin(sin(sin((x0 * x0) * sin(x0 * 3.1015959)) * x0) * x0) + 1.0339295) * ((x0 * x0) * x0)) * x0) + 0.880477"
28,0.057215955,"(((sin(sin(sin(sin((x0 * x0) * sin(x0 * 3.1019983))) * x0) * x0) + 1.0231531) * ((x0 * x0) * x0)) * x0) + 0.880878"
29,0.034870926,"(x0 * (x0 * ((x0 * (sin(x0 * sin(sin(x0 * (x0 * sin((0.47652763 - x0) * x0))) * x0)) + 1.0464026)) * x0))) + 0.91746503"
30,0.030980082,"(((x0 * x0) * (sin(sin(sin(x0 * sin((x0 * x0) * sin(x0 * (0.47655985 - x0))))) * x0) + 1.0442032)) * (x0 * x0)) - -0.9038397"
