Complexity,Loss,Equation
1,944.144,"64.368385"
3,138.13333,"x0 * 20.07606"
5,1.8235677,"(x0 * 5.1953936) * x0"
7,0.18582866,"(x0 * (x0 * 5.0087314)) - -2.8636963"
9,0.17444412,"((x0 + 0.14436802) * (x0 * 4.895264)) - -1.8827755"
10,0.16391432,"x0 * ((sqrt(x0 - -15.169483) * x0) + 3.2222576)"
11,0.14912613,"((x0 * 31.306885) + -33.373974) - (sin(cos(x0)) * -14.885007)"
13,0.14000817,"(((x0 - -25.056326) * x0) + -26.169018) - (sin(cos(x0)) * -11.852581)"
15,0.13797554,"(((x0 * (x0 - -11.497349)) + -11.714829) * 1.7639796) - (sin(cos(x0)) * -9.535982)"
17,0.13797422,"((((x0 * (x0 - -11.68988)) + -11.512596) * 1.7450485) - (sin(cos(x0)) * -9.593312)) + -0.7111122"
19,0.121005334,"(((x0 * x0) * 5.0269947) + sqrt(sqrt(((x0 * x0) - 0.98294806) * 39.83133))) - (x0 + -1.620047)"
21,0.10496696,"(x0 * (x0 * 5.0259438)) + ((sqrt(sqrt(((x0 * x0) - 0.98548144) * 47.846714)) - (x0 + -1.1523455)) + 0.2579673)"
23,0.10487859,"((((x0 * x0) * 5.0717444) + sqrt(sqrt(x0 + ((x0 - 1.1249981) * 7.502017)) * 5.532539)) - (x0 + -0.12174256)) - -0.44677058"
24,0.09991016,"((x0 * (x0 * 5.052099)) + sqrt((x0 + 5.123468) * sqrt(sqrt((x0 + -0.9921888) * 2.798925) * 5.4197626))) - (x0 + -0.14266315)"
26,0.092486106,"((x0 * x0) * 4.9726777) + (sqrt((x0 + 4.2194924) * sqrt((x0 + (x0 + 2.1067708)) * sqrt((x0 - 0.99271506) * 7.1356783))) - x0)"
