Complexity,Loss,Equation
1,944.144,"64.368385"
3,138.13333,"x0 * 20.076109"
5,1.8235677,"x0 * (x0 * 5.1953616)"
7,0.18582864,"((x0 * x0) + 0.5717418) * 5.008731"
9,0.17444417,"((x0 * (x0 - -0.14442526)) * 4.895218) + 1.8823886"
10,0.16488098,"(sqrt(x0) * x0) * ((x0 * 1.1170546) - -5.89914)"
11,0.16317186,"(x0 - -1.8756818) * ((sqrt(sqrt(x0)) * x0) * 2.4957373)"
13,0.16194795,"(((sqrt(sqrt(x0)) * (x0 * 2.682009)) - -5.967223) * x0) + -1.6315788"
15,0.1596152,"(((sqrt(x0 - -8.714996) * x0) * (x0 - -2.0879948)) + cos(x0)) + -3.2441819"
16,0.15901454,"((sqrt(sqrt(x0)) * (((x0 * 2.2234352) + 6.230884) * x0)) + cos(x0)) + -1.9316887"
17,0.11214722,"(cos(x0) + ((sqrt(x0 - 0.9924785) * (x0 - -6.9471946)) * x0)) + (x0 - -3.5793874)"
18,0.10495429,"(sin(cos(x0)) + ((sqrt(x0 - 0.9924785) * (x0 - -6.9471946)) * x0)) + (x0 - -3.5793874)"
26,0.10241042,"(sqrt(cos(cos(x0 - 0.3932566))) * cos(x0)) + (((sqrt(x0 - 0.99251896) * (x0 * (x0 - -6.946178))) + 0.12583713) + (x0 - -3.421736))"
