Complexity,Loss,Equation
1,2.9631097,"1.200726"
3,2.5889256,"x0 + 0.95264995"
5,2.4476652,"(x0 * x0) + 0.65503705"
6,2.4401245,"(x0 * x0) + cos(x0)"
7,2.4176786,"(x0 * x0) + cos(sin(x0))"
8,2.3461657,"(x0 - sin(x0 * x0)) + 1.1945474"
9,2.2401543,"((x0 * x0) * (x0 + -0.9931689)) + 1.0851641"
10,2.146749,"((cos(x0 * 86.562675) + x0) * x0) + 0.66736484"
11,2.0178535,"((x0 - sin(sin(x0) * 33.844906)) * x0) + 0.77258104"
12,1.8315986,"((x0 * (cos(x0 * 108.23718) + 0.9372889)) * x0) + 0.73819643"
13,1.6887352,"(((1.1759039 - sin(sin(x0) * 34.02146)) * x0) * x0) + 0.7053829"
14,1.4654441,"(((sin(x0 * 102.469795) - -0.5143626) * x0) * (x0 * x0)) + 0.85872674"
15,1.3099605,"((0.9616618 - sin(sin(x0) * 27.628395)) * (x0 * (x0 * x0))) + 0.8734504"
16,1.238988,"((sin(x0 * 102.37778) - -0.34495163) * (((x0 * x0) * x0) * x0)) + 0.80430937"
17,0.99381196,"((sin(x0 * 102.35853) - cos(x0)) * (((x0 * x0) * x0) * x0)) + 1.1857069"
19,0.6680476,"((x0 * ((x0 * -2.478034) * x0)) * (sin(sin(x0 * 87.347466) + x0) + -0.93749505)) + 0.9389919"
20,0.51463366,"((x0 * (sin(x0) - x0)) * ((sin(x0 + sin(x0 * 90.49595)) + -0.92521334) * 9.786019)) + 0.8598835"
21,0.47346413,"(((x0 * (x0 * x0)) * (x0 * (sin(sin(x0 * 87.33029) + x0) + -0.9386424))) * -1.3609457) + 0.90586233"
22,0.37660953,"((sin(x0 + sin(x0 * 108.98846)) + -0.924016) * (x0 * ((x0 * (sin(x0) - x0)) * 5.2138405))) + 0.93169737"
23,0.29267251,"((0.59772927 - x0) * ((x0 * (sin(sin(x0 * 108.984276) + x0) + -0.93213433)) * ((x0 * x0) * x0))) + 0.97891164"
24,0.261068,"((sin(sin(x0 * 108.98086) + x0) + -0.9131848) * (((x0 * x0) * (sin(x0) - (x0 * x0))) * x0)) + 0.99878734"
25,0.19241144,"(((x0 * (((sin(sin(x0 * 108.9806) + x0) + -0.9323163) * x0) * (1.2787224 - x0))) * x0) * (x0 * x0)) + 1.0191388"
28,0.13066734,"((sin((sin(sin(x0 * -9.386783) * 2.135144) + -2.9673898) * x0) + -0.6941734) * ((((x0 * x0) * x0) * x0) * (1.0392008 - x0))) - -0.99879676"
29,0.10582383,"((sin((sin(sin(sin(x0 * -9.3799) * 2.1642618)) + -2.9182558) * x0) + -0.79979014) * ((((x0 * x0) * x0) * x0) * (1.0048866 - x0))) - -1.0075998"
30,0.08585345,"(((sin((sin(sin(x0 * sin(x0 * -9.358964))) + -2.949934) * x0) + -0.82477045) * x0) * ((x0 * (x0 * x0)) * (sin(x0) - x0))) + 0.9688415"
