Complexity,Loss,Equation
1,2.9631097,"1.2007234"
3,2.5889256,"x0 + 0.9526501"
5,2.4476657,"(x0 * x0) + 0.65469795"
6,2.4401245,"cos(x0) + (x0 * x0)"
7,2.4176786,"(x0 * x0) + cos(sin(x0))"
8,2.3461657,"(1.1945385 - sin(x0 * x0)) + x0"
9,2.2401545,"1.0851467 - ((x0 * (0.9931408 - x0)) * x0)"
10,2.19303,"0.94419026 - ((x0 * (sin(x0) - x0)) * x0)"
11,2.1724575,"0.9821122 - ((x0 * (1.3225341 - x0)) * (x0 * x0))"
12,2.062305,"((cos(x0 + x0) + x0) * (x0 * x0)) + 0.7974433"
13,2.0226872,"1.1419531 - (((x0 * x0) * (1.5974182 - x0)) * (x0 * x0))"
14,1.9533268,"0.6896997 - ((x0 * (sin(-21.358402 - (x0 * x0)) - 1.222746)) * x0)"
15,1.8595557,"cos(x0) - (x0 * (x0 * (sin(-14.705208 - (x0 * x0)) - x0)))"
16,1.6809868,"((x0 * (x0 * x0)) * (cos(x0 * (x0 + 0.341943)) + 0.9212879)) + 0.87962246"
18,1.6502372,"(((x0 * cos(x0 + x0)) + x0) * (((x0 * 1.4206743) * x0) * x0)) + 0.821639"
19,1.1692126,"((x0 * x0) * ((cos(x0 * (cos(x0 * 24.465883) + x0)) + 0.62212455) * x0)) + 0.85221934"
21,1.0771894,"((x0 * (cos(((x0 + cos(x0 * x0)) * 1.7633246) * x0) + 0.9344648)) * (x0 * x0)) + 1.0100853"
24,0.7491966,"((x0 * (cos(x0 * 11.942001) + x0)) * (x0 * (cos(x0 * (cos(x0 * 11.942001) + x0)) + 0.76234))) + 0.82977986"
27,0.7024224,"((x0 + (x0 * cos((((x0 * (x0 + 0.50226665)) + cos(x0 + (x0 * 3.951371))) + -5.303538) * x0))) * (x0 * 6.689276)) + 0.57418555"
28,0.683486,"(((x0 * (cos((x0 + x0) * 10.667527) + x0)) * x0) * (cos(x0 * (cos(10.667527 * (x0 + x0)) + x0)) + 0.6739779)) + 0.85471183"
30,0.4980462,"((((x0 * cos((x0 + x0) * 9.30527)) + x0) * x0) * ((cos(x0 * ((cos(x0 + x0) * 14.353006) + x0)) + 0.54421365) * x0)) + 0.87406266"
