Complexity,Loss,Equation
1,944.144,"64.368385"
3,138.13333,"x0 * 20.07615"
5,1.8235683,"x0 * (x0 * 5.1953707)"
7,0.18582866,"((x0 * x0) + 0.57174) * 5.0087314"
9,0.17444411,"((x0 * (x0 + 0.14434035)) + 0.38463426) * 4.895286"
10,0.16488102,"((x0 * 1.1170654) - -5.8991218) * (sqrt(x0) * x0)"
12,0.15829717,"((x0 * (x0 * 4.9445763)) - -2.1740434) + sqrt(x0 + -0.9925739)"
13,0.15260096,"(((x0 * 4.9769526) * x0) - -2.0647395) + sqrt(sqrt(x0 - 0.99205595))"
15,0.13658433,"(((x0 * x0) * 4.9588585) - -1.1382837) + (sqrt(sqrt(x0 - 0.99214053)) * 1.9112699)"
17,0.123187006,"((((x0 * x0) * 5.1087565) + sqrt(sqrt((x0 - 0.99271333) * 66.33472))) - x0) + 1.495317"
19,0.112465546,"(sqrt(sqrt(0.7599503 - ((0.9958235 - x0) * 209.11601))) - x0) + ((x0 * (x0 * 5.050156)) + 1.1698108)"
20,0.09889227,"(sqrt(sqrt(1.0695772 - ((sqrt(x0) - x0) * 293.8298))) - (x0 + -1.184504)) + (x0 * (x0 * 5.0555973))"
29,0.09815543,"((x0 * x0) * 5.1144676) + ((sqrt(sqrt(sqrt((sqrt(x0) + (x0 - (3.754616 - (x0 * 1.7807902)))) * 67.8414) * 48.43318)) - (x0 + 0.44694024)) - 0.2792239)"
30,0.09799708,"(x0 * (x0 * 5.1144676)) + (sqrt(sqrt(sqrt((sqrt(x0) + (x0 - (3.754616 - (x0 * 1.7807902)))) * 67.8414) * 48.43318)) - ((x0 + cos(0.0002773438)) - 0.2792239))"
