Complexity,Loss,Equation
1,0.035084844,"0.89546335"
3,0.032671925,"input_u + 1.0585254"
5,0.032671914,"(input_u + 0.9648693) - -0.09365443"
7,0.03267189,"((input_u + 4.1505747) - -0.016537856) + -3.1085925"
9,0.032671876,"(input_u + (0.97188526 + time)) + (0.086637646 - time)"
11,0.032671835,"(input_u + ((time - 0.012921199) + 0.9002982)) - (time - 0.17114654)"
13,0.032671794,"(((((time + input_u) + time) - 0.05954703) + 1.118069) - time) - time"
15,0.032671772,"(((((input_u + time) + time) - 0.23165862) + 0.42504248) - time) + (0.8651401 - time)"
17,0.03267176,"((((((input_u + time) + time) - 0.094886445) + 0.26775682) - time) + 0.36113137) + (0.5245227 - time)"
19,0.03267168,"(0.45677677 - time) + ((((((time + (input_u + time)) - 0.010414732) - 0.0025631255) + 0.26434076) - time) + 0.35038343)"
