Complexity,Loss,Equation
1,0.0837425,"1.7929528"
3,0.0041924133,"9.188009 - time"
5,0.0041924,"9.881538 - (time + 0.6935323)"
7,0.0019432716,"(time + input_u) + (time + -15.295614)"
9,0.0019432541,"time + (input_u + ((time + -15.570239) - -0.27462527))"
11,0.0019432136,"((input_u + -28.084717) - 6.592626) + (time - (-19.381727 - time))"
13,0.0019431834,"(((input_u + -35.174274) - -0.80605185) + (time - (-17.968231 - time))) - -1.1043726"
15,0.001943177,"((time - (-18.012447 - time)) + (1.1250216 - (0.45160756 - (-35.130062 + input_u)))) - -1.1485877"
17,0.0019431195,"((0.23914945 - ((time + (-0.22648904 - (input_u + -34.451927))) - time)) + time) - (-18.690592 - time)"
21,0.001943101,"time - (-0.67321825 - (((0.672888 - (-0.6823675 - (input_u + -35.58179))) - time) + ((time - (-17.560705 - time)) - -0.69687605)))"
